_New;Nuevo
JobManager;Administrador de trabajos
AddCalculatedColumn;Agregar columna calculada
AddCalculatedColumnElipsis;Agregar columna calculada...
AddServerCronoExamples;Agregar servidor 'Ejemplos Crono'
TheDocumentMustBeSavedLocallyBeforePublishing;Antes de publicar se debe guardar el documento localmente.
AllConflictsMustBeResolvedBeforeSynchronizing;Antes de sincronizar se deben resolver todos los conflictos
LoadedMainWindowParenthesesAfterParameterMs;Cargada MainWindow (tras {0} ms)
LoadedSplashParenthesesAfterParameterMs;Cargado Splash (tras {0} ms)
ConfigurationFolder;Carpeta de configuración
CloseOtherFolders;Cerrar las demas carpetas
CloseAllFolders;Cerrar todas las carpetas
ValidProductKey;Clave de producto válida.
CheckingFilesFromTheCloud;Comprobando ficheros de la nube
CheckingGitRepository;Comprobando repositorio git...
ComputerConnectionColonParameter;Conexión de equipo: {0}
DefaultConnection;Conexión predeterminada
ConfigureParameters;Configurar parametros
CopySuggestedCreateTable;Copiar CREATE TABLE sugerido
CopyFieldList;Copiar lista de campos
CopyCommaSeparatedFieldList;Copiar lista de campos separados por coma
EmailColonParameter;Correo electrónico: {0}
WhenGroupColumnsExistsNeedTospecifyOrderColumns;Cuando existen columnas de agrupamiento, también es necesario especificar columnas de ordenación.
YouMustDefinieVariableToUseThem;Debe definir las variables para poder usarlas.
YouMustSpecifyDataBaseNameForLocalCubes;Debe especificar el nombre de la base de datos para los cubos locales.
YouMustSpecifyConnectionName;Debe especificar el nombre de la conexión.
YouMustSpecifyFileName;Debe especificar el nombre del archivo
YouMustSpecifyParameterName;Debe especificar el nombre del parámetro
YouMustSpecifyANameForThisColumn;Debe especificar un nombre para esta columna.
YouMustSpecifyACorrectKeyForParameter;Debe especificar una clave correcta para el parámeto
YouMustSpecifyUserOrGroup;Debe especificar usuario o grupo
YouMustSelectColumnsToCheck;Debe seleccionar las columnas que desee comprobar.
YouMustSelectaBusinessItem;Debe seleccionar un elemento de negocio
YouMustSelectAnItem;Debe seleccionar un elemento.
YouMustSelectAnAuthorizationType;Debe seleccionar un tipo de autorización
YouMustSelectAUser;Debe seleccionar un usuario.
YouMustSelectAFolder;Debe seleccionar una carpeta
YouMustSelectACatalogDimension;Debe seleccionar una dimensión del catálogo
YouMustSpecifyTheItemName;Debes especificar el nombre del elemento.
DownloadingDatabase;Descargando base de datos
WorkingDirectory;Directorio de trabajo
ExpressionEditor;Editor de expresiones
TheFileParameterBetweenQuotesIsOpenCloseItBeforeOverwriteIt;El archivo '{0}' está abierto, cierrelo antes de sobreescribirlo.
TheFileParameterBetweenQuotesContainsErrorsThatPreventSavingAskCloseWithoutSaving;El archivo '{0}' contiene errores que impiden guardar, ¿Desea cerrar sin guardar?
TheFileContainsErrorsAndNotPossibleToSave;El archivo contiene errores y no ha sido posible guardarlo.
TheFileDoesNotHaveTheExpectedVersion;El archivo no tiene la versión esperada
TheSelectedDirectoryIsNotAGitDirectory;El directorio seleccionado no es un directorio git.
TheSelectedDirectoryIsNotEmpty;El directorio seleccionado no está vacío.
TheSelectedDirectoryDoesNotExists;El directorio seleccionado no existe.
TheFileMustBeInsideParameterBetweenQuotes;El fichero debe encontrarse dentro de '{0}'
TheFileIsNotAsExpected;El hash del archivo no es el esperado
TheColumnNameCannotBeginWithArroba;El nombre de la columna no puede empezar por @.
TheObjectTypeParameterBetweenQuotesNotValidSource;El objeto de tipo '{0}' no es un origen válido.
TheParameterParameterIsCatalogParameterAndCannotDelete;El parámetro {0} es un parámetro de catálogo y no se puede eliminar.
TheRepositoryIsNotOnHead;El repositorio no está en el HEAD.
TheTextHasBeenCopiedToClipboard;El texto se ha copiado en el portapapeles.
TheTypeParameterBetweenParenthesesIsNotEnumeration;El tipo '{0}' no es una enumeración
TheUsesDoesNotBelongToAnyGroup;El usuario no pertenece a ningún grupo.
TheDefaultValueIsBadlyDefined;El valor por defecto está mal definido.
SelectedValueInParameterCausesRecursionSelectAnotherValue;El valor seleccionado en {0} causa recursividad, por favor, seleccione otro valor.
SelectedValuesUsesThisParameterSelectAnotherValueToAvoidRecursion;El valor seleccionado usa este parámetro, por favor, seleccione otro valor para evitar recursividad.
DeleteParenthesesParameterColumns;Eliminar ({0} columnas)
DeleteSelected;Eliminar seleccionados
DeleteAllColumns;Eliminar todas las columnas
ErrorDisplayingRequestResultParameterBetweenQuotes;Error al mostrar el resultado de la petición '{0}'.
ErrorGettingParameter;Error al obtener {0}
IntentionallyCausedError;Error provocado intencionadamente
ThisActionDoesNotContainAnyPropertyThatCouldBeModified;Esta acción no contiene ninguna propiedad que se pueda modificar.
ThisJoinIsMarkedToNotCheck;Esta relación está marcada para que no se verifique.
ThisJoinHasReferentialIntegrityInDatabase;Esta relación tiene integridad referencial en la base de datos.
SetParameter;Establecer {0}
StatisticsOfTheResult;Estadísticas del resultado
TheseColumnsTogether;Estas columnas, en conjunto,
ThisFilterAppliesAllSheets;Este filtro aplica a todas las hojas
ThisFilterAppliesOnlyThisSheetColonParameter;Este filtro aplica solo en esta hoja: {0}
ThisFilterDoesNotApplyAnySheet;Este filtro no aplica a ninguna hoja
ExcludeParameterInThisQuery;Excluir {0} en esta consulta
ThereIsASyntaxError;Existe un error de sintaxis.
ServerExplorer;Explorador de servidores
FilterBusinessItems;Filtrar elementos de negocio
FilterOnTheFollowingPanels;Filtrar en los paneles siguientes
FilterOnAllSheets;Filtrar en todas las hojas
FilterOnAllPanels;Filtrar en todos los paneles
FilterOnlyOnThisSheet;Filtrar solo en esta hoja
FilterOnlyInThisPanel;Filtrar solo en este panel
FormatParenthesesParameterColumns;Formato ({0} columnas)
NotImplementedFormat;Formato no implementado
FormulaValidatedCorrectly;Fórmula validada correctamente
GenericColonParameter;Genérica: {0}
TheConnectionToTheServerHasFailed;Ha fallado la conexión con el servidor
ThereWasAnErrorWhileCommitting;Ha habido un error mienstras se hacía commit.
ThereWasAProblemWhileRegisteringCheckInternetOrContactCrono;Ha habido un problema a la hora de registrar el producto. Revise su conexión a internet o póngase en contacto con info@crono.net.
AnErrorOccurredDuringExecution;Ha ocurrido un error durante la ejecución.
AnErrorOccurredDuringPublication;Ha ocurrido un error durante la publicación.
AnErrorOccurredDuringDataValidation;Ha ocurrido un error durante la validación de los datos.
AnErrorOccurredInTheApplicationAndWillNowClose;Ha ocurrido un error en la aplicación y va a cerrarse.
AnUnexpectedErrorOccurredWhileExportingInformation;Ha ocurrido un error imprevisto al exportar la información...
AnUnexpectedErrorOccurredDuringThisCommandExecution;Ha ocurrido un error imprevisto durante la ejecución de este comando.
ThereHaveBeenNewCommitsSinceTheLastCheck;Han habido nuevos commits desde la ultima comprobación.
ThereAreFilesInStage;Hay ficheros en stage
ThereIsAnErrorWithTheQuery;Hay un error con la consulta
ThereIsAnIncompleteMerge;Hay un merge incompleto.
DeviceIdentifierColonParameter;Indentificador del equipo: {0}
IndicatesWhetherVariableModificationsAreMadeDirectlyOnTheListOrInACopy;Indica si las modificaciones que se hagan sobre las variables se realizan directamente sobre la lista pasada por parámetro en la propiedad variable o se realizaran en una copia
SessionInformation;Información de sesión
EnterTheLicenseNumber;Introduzca el número de licencia.
EnterAContactEmail;Introduzca un email de contacto
TheFolderParameterBetweenQuotesNotContainGitRepository;La carpeta '{0}' no contiene un repositorio git.
TheConnectionIsNotDefined;La conexión no está definida
TheDefinitionContainsSyntaxError;La definición contiene algún error de sintaxi
TheExpressionIsNotCorrect;La expresión no es correcta.
TheExpressionIsNotAFilter;La expresión no es un filtro
TheExpressionMustBeAQuery;La instrucción debe ser una consulta
ThePropertyParameterIsReadOnly;La propiedad '{0}' es de solo lectura.
ThePropertyParameterIsReadOnlyAndCannotBeSetByBinding;La propiedad '{0}' es readonly y no se puede establecer por binding.
ThePropertyParameterIsReadOnlyAndItsValueCannotBeSetExternally;La propiedad '{0}' es readonly y no se puede establecer su valor externamente.
ThePropertyParameterBetweenQuotesNotExistsInModelParameterBetweenParentheses;La propiedad '{0}' no existe en el modelo ({1})
TheListPropertyIsNotEnumerableType;La propiedad de lista no es del tipo enumerable
ListPropertyHasNotBeenFound;La propiedad de lista no se ha encontrado
TheSQLStatementIsCorrect;La sentencia SQL es correcta.
LocateInCatalog;Localizar en catálogo
ChangesMadeToFileParameterBetweenQuotesWillBeLostAskContinueAnyway;Los cambios realizados en el fichero '{0}' se perderán. ¿Continuar de todas formas?
FiltersWillAlwaysApplyToThePanelsWhereTheyAreIn;Los filtros siempre se aplicarán a los paneles en los que se encuentran.
ReportsFromCubesAreNotYetAvailable;Los informes desde cubos no están disponibles todavía
TheParameterParameterHasNotBeenDefined;El parámetro {0} no se ha definido.
RamMemoryColonParameterMb;Memoria RAM: {0:N2} MB
ShowColumnSelector;Mostrar selector de columnas
YouNeedLinceseNumberToUseCronoSolutionCanGetOneFromDemoCrono;Necesita un número de licencia para utilizar la solución Crono. Puede obtener uno gratuitamente desde http://demo.crono.net
NoObjectInCatalogUsesTheParameterParameterBetweenQuotes;Ningún objeto en el catálogo utiliza el parámetro '{0}'
ThePropertyParameterBetweenQuotesNotExistsInParameterBetweenQuotesParenthesesViewModelColonParameterBetweenQuotes;No existe la propiedad '{0}' en  '{1}' (viewmodel: '{2}')
DoNotFilterOnThisSheet;No filtrar en esta hoja
CouldNotValidateLicenseNumberMayBeProblemsWithInternetConnectionOrServerMeyNotBeOperationalAtThisTimeTryItAgainLater;No ha podido validarse el número de licencia. Es posible que existan problemas con su conexión a Internet o que el servidor no esté operativo en este momento. Inténtelo de nuevo más tarde.
ItWasNotPossibleToUseThisCatalog;No ha sido posible utilizar este catálogo
ItWasNotPossibleToValidateProductKey;No ha sido posible validar la clave de producto.
ThereAreNoPendingChanges;No hay cambios pendientes
ThereIsNoEstablishedConnectionAtThisTime;No hay ninguna conexión establecida en este momento.
ThePublicationAddresHasNotBeenConfigured;No se ha configurado la dirección de publicación.
AnOriginHasNotBeenConfiguredInTheRepository;No se ha configurado un 'origin' en el repositorio.
TheColorThemeLibraryWasNotFoundColon;No se ha encontrado la librería del tema de colores:
NoCatalogFoundOnTheSpecifiedRoute;No se ha encontrado ningún catálogo en la ruta especificada
CouldNotOpenJobColonParameter;No se ha podido abrir el trabajo: {0}
CouldNotUpdateServerInformation;No se ha podido actualizar la información del servidor
CouldNotAssignValue;No se ha podido asignar el valor.
CouldNotChangeRegistryValue;No se ha podido cambiar el valor del registro
CouldNotCloneRepository;No se ha podido clonar el repositorio.
CouldNotGenerateFileParameterBetweenQuotes;No se ha podido generar el archivo '{0}'.
NoServersHaveBeenRegistered;No se ha registrado ningún servidor
NoSourceHasBeenSelected;No se ha seleccionado ningún origen.
CouldNotGenerateSDLViewOfParameterBetweenQuotes;No se han podido generar la vista SDL de '{0}'
NoFilesHaveBeenSelected;No se han seleccionado ficheros.
ThisPanelCannotBeExportedInCardsMode;No se puede exportar este panel en el modo de presentación 'Tarjetas'
CannotSaveIntoFolderParameterBetweenQuotes;No se puede guardar en la carpeta '{0}'
CannotLocateMapFileParameterBetweenQuotes;No se puede localizar el fichero de mapas '{0}'
YouHaveNoRegisteredServerThatSupportsPublishingAskWantToAddOneNow;No tiene ningún servidor registrado que admita publicación, ¿Desea añadir uno ahora?
LicenseNumberColonParameter;Número de licencia: {0}
ObjectForTheListOfValues;Objeto para la lista de valores
ObjectsUsingParameter;Objetos que usan {0}
GetsOrSetsACollectionUsedToGenerateTheDatagridContent;Obtiene o establece una recolección que se utiliza para generar el contenido del datagrid
GetsACollectionOfDatagridColumns;Obtiene una colección de columnas del datagrid
HideParenthesesParameterColumns;Ocultar ({0} columnas)
AnErrorOcurredDuringSynchronization;Ocurrio un error durante la sincronización.
PassAllToQuery;Pasar todos a consulta
PercentageWithRespectToAGroup;Porcentaje respecto a un grupo
ProblemGettingPropertyParameterBetweenQuotesOfAParameterBetweenQuotes;Problema al obtener la propiedad '{0}' de un '{1}'
UnregisteredProduct;Producto no registrado
PropertyParameterBetweenQuotesLinkedToIncorrectType;Propiedad '{0}' enlazada a tipo incorrecto
PropertyParameterBetweenQuotesNotFoundInObjectOfTypeParameterBetweenQuotes;Propiedad '{0}' no encontrada en el objeto del tipo '{1}'.
FolderProperties;Propiedades de carpeta
ColumnProperties;Propiedades de columna
FilterProperties;Propiedades de filtro
CubeElementProperties;Propiedades del elemento del cubo
RepositoryProperties;Propiedades repositorio
ReferenceToNonExistentPropertyColon;Referencia a propiedad inexistente:
HighlightCompatibleObjects;Resaltar los objetos compatibles
TheExpressionMustBeSpecified;Se debe especificar la expresión.
ACommitMessageMustBeSpecified;Se debe especificar un mensaje de commit.
TheJobMustBeNamed;Se debe nombrar al trabajo.
AtLeastParameterParameterMustBeSelected;Se debe seleccionar al menos {0} {1}
TheDestinationDirectoryMustBeSelected;Se debe seleccionar el directorio de destino.
ACalendarMustBeSelected;Se debe seleccionar un calendario.
ADirectoryMustBeSelected;Se debe seleccionar un directorio.
AFileToExecuteMustBeSelected;Se debe seleccionar un fichero a ejecutar
ASingleQueryMustBeUsed;Se debe utilizar una única consulta
AnoObjectOfTypeTypeWasExpectedButIsTypeParameterBetweenQuotes;Se esperaba un objeto del tipo 'Type' pero es del tipo '{0}'
TheTableIsMaterializing;Se está materializando la tabla
TheRepositoryHasBeenAccessedCorrectly;Se ha accedido al repositorio correctamente.
RegistrationCompletedSuccessfully;Se ha completado el registro satisfactoriamente.
TheDatabaseWasCreatedAndConnectionHasBeenEstablishedCorrectly;Se ha creado la base de datos y se ha establecido la conexión correctamente.
TheDatabaseHasBeenDeletedSuccessfully;Se ha eliminado la base de datos correctamente.
TheConnectionToCronoServerHasBeenEstablishedSuccessfully;Se ha establecido correctamente la conexión con el servidor de Crono.
ItHasBeenPublishedCorrectly;Se ha publicado correctamente.
UpdatesHaveBeenLookedFor;Se han buscado actualizaciones
ParameterDifferentCombinationsHaveBeenFound;Se han encontrado {0:N0} combinaciones distintas.
TheLookForUpdatesStarts;Se inicia la búsqueda de actualizaciones
TheDatabaseParameterIsGoingToBeDeletedWithAllItsContentAskAreSureWantContinue;Se va eliminar completamente la base de datos {0} y todo su contenido. ¿Está seguro que quiere continuar?
SelectParameterInThisQuery;Seleccionar {0} en esta consulta
SelectGreaterThanOrEqualTo;Seleccionar mayor o igual que
SelectLessThanOrEqualTo;Seleccionar menor o igual que
SelectLocation;Seleccionar ubicación
SelectTheImageFile;Seleccione el fichero de imagen
SelectTheCatalogLanguage;Seleccione el idioma del catálogo
SelectTheActionTypeYouWantCreate;Seleccione el tipo de acción que desea crear.
SelectTheJob;Seleccione el trabajo
SelectBusinessElementsTahtWillBeAllowedToChoosesWhenAskingTheParameter;Seleccione los elementos de negocio que se permitirán escoger cuando se pregunte por el parámetro.
SelectTheValuesToFilterBy;Seleccione los valores por los que filtrar.
SelectACatalogWithWhichToBuildYourReport;Seleccione un catálogo con el que construir su informe
SelectADirectory;Seleccione un directorio
SelectAnItemFromCatalog;Seleccione un elemento del catálogo.
SelectADimension;Seleccione una dimensión.
ServerForLocalCubes;Servidor para cubos locales
IfPasswordIsSpecifiedAUserMustAlsoBeSpecified;Si se especifica una contraseña también se debe especificar un usuario.
SynchronizationCompleted;Sincronización completada.
OperatingSystemColonParameter;Sistema operativo: {0}
OnlyPaginaViewItemAndPaginaViewGroupItemAreAllowed;Solo se admiten 'PaginaViewItem' y 'PaginaViewGroupItem'
SplashScreenClosedParenthesesAfterParameterMs;SplashScreen cerrada (tras {0} ms)
InstallationTypeColonParameter;Tipo de instalación: {0}
ValidatingProductKeyElipsis;Validando clave de producto...
ValidateLicenseNumber;Validar número de licencia
NotAllowedValueInParameter;Valor no admitido en {0}
ShowVerificationErrors;Ver errores de verificación
ShowVerificationStatement;Ver sentencia de verificación
InstallationVerification;Verificación de la instalación
AParameterWithThisKeyAlreadyExists;Ya existe un parámetro con esta clave
WouldYouLikeToDefineThemNow;¿Desea definirlos ahora?
WouldYouLikeToDefineItNow;¿Desea definirlo ahora?
TheBusinessItemLowerCase;el elemento de negocio
Execute;Ejecutar
ParenthesesParameterMs;({0}ms)
AskWantToCheckThisJoinLastVerificationDataColonParameterLastVerificationTimeColonParameterSeconds;¿Desea verificar esta relación?|Fecha última verificación: {0}|Tiempo última verificación: {1} segundos
TheParentTypeIsParameterWithCronoSqlColonParameter;El padre es del tipo {0} con CronoSql:|{1}
FailedToFindPropertyParameterBetweenQuotesInObjectTypeParameterBetweenQuotesParameter;Fallo al buscar la propiedad '{0}' en el objeto de tipo '{1}'|{2}
FailedToSetPropertyParameterBetweenQuotesParameter;Fallo al setear la propiedad '{0}'|{1}
TheFilePublicationDateOnServerNotMatchCurrentOneAskPostAnywayLastPublicationInformationColonParameter;La fecha de publicación del fichero en el servidor no concuerda con la actual.|¿Publicar de todas formas?||Información de última publicación:|{0}
TheConnectionParameterBetweenQuotesToAccessTheDatabaseDoesNotExistsAskWantCreateItNow;No existe la conexión ""{0}"" para acceder a la base de datos.|¿Desea crearla ahora?
Format;Formato
Exclude;Excluir
_Select;Seleccionar
Accept;Aceptar
Enable;Activar
ManageFilters;Administrar filtros
Disable;Desactivar
Documentation;Documentación
EditQuery;Editar consulta
FilterOn;Filtrar en
General;General
NewAction;Nueva acción
NewFilter;Nuevo filtro
Hide;Ocultar
OrganizationColonParameter;Organización: {0}
PassToQuery;Pasar a consulta
PassToFormula;Pasar a fórmula
Registration;Registro
Log;Registro
PercentageSalesMarginAVsCostB;% Margen de venta A vs coste B
PercentageVariationOfAVsB;% Variación de A vs B
AMinusBDividedBPercentageBetweenParentheses;(a-b)/b (Porcentaje)
ParameterAccumulated;{0} acumulado
ADivideBPercentageBetweenParentheses;a/b (Porcentaje)
ADivideBRatioBetweenParentheses;a/b (Ratio)
AboutCrono;Acerca de Crono
Acknowledgment;Agradecimientos
AddColumn;Agregar columna
Authorization;Autorización
Basics;Básicos
Calendar;Calendario
GoogleCalendar;Calendario de Google
FolderOnServer;Carpeta en servidor
LocalFolder;Carpeta local
Scientific;Científico
ProductKey;Clave del producto
ForeignKey;Clave externa
Cloning;Clonando
Clone;Clonar
CloneRepository;Clonar repositorio
Commit;Commit
CheckingStatus;Comprobando estado
CheckingHead;Comprobando HEAD
CheckingSource;Comprobando origen
CheckingStage;Comprobando stage
NetworkConfiguration;Configuración de red
ConfigureConnection;Configurar conexión
ConfigureOrderBy;Configurar ORDER BY
ConfigureTop;Configurar TOP
ContactColonParameter;Contacto: {0}
CopyName;Copiar nombre
Correct;Correcto
SplashCreated;Creado Splash
Credentials;Credenciales
Available;Disponible
Duration;Duración
Edit;Editar
EditExpression;Editar expresión
SqlQueryEditor;Editor consulta SQL
CronoSqlEditor;Editor Crono SQL
QueryEditor;Editor de consulta
PermissionsEvaluatedSequentiallyInCaseContradictoryAssignmentsLastPrevailsIfNoPermissionApplicableDefaultApplicationPermissionsAreMaintained;Los permisos se evalúan secuencialmente. En caso de asignaciones contradictorias prevalece el último de la lista.||Si ningún permiso específico es aplicable, se mantienen los permisos predeterminados de la aplicación.
DeleteColumn;Eliminar columna
BindingErrorsColon;Errores de binding:
Statistics;Estadísticas
Eula;EULA
Explorer;Explorador
Export;Exportar
DateAndTime;Fecha y hora
ColumnFilter;Filtro de columna
AdvancedFilters;Filtros avanzados
Print;Imprimir
Start;Inicio
EnterYourCity;Introduzca su ciudad
EnterYourName;Introduzca su nombre
TheRequestToParameterBetweenParenthesesWasResolvedWithTheCodeColonParameterParameter;La petición a '{0}' se resolvió con el código:||{1} {2}
ExpiredLicense;Licencia caducada
LicenceDeleted;Licencia eliminada.
ClearFilters;Limpiar filtros
ClearValue;Limpiar valor
TheFollowingFilesAreLockedCloseProgramsMayBeUsingThemAndTrySynchronizeAgain;Los siguientes ficheros están bloqueados, cierre los programas que puedan estar utilizando estos ficheros e intente sincronizar de nuevo.||{0}
ErrorMessage;Mensaje de error
Currency;Moneda
ShowingMainWindow;Mostrando MainWindow
ShowWarnings;Mostrar avisos
ShowSummations;Mostrar sumatorios
NotAvailable;No disponible
CouldNotConnectToTheCloudParameter;No se ha podido conectar a la nube.||{0}
CouldNotGetRepositoryInformationCheckRepositoryAddressIsWellWrittenAndCredentialsAreCorrect;No se ha podido obtener información del repositorio.||Compruebe que la dirección del repositorio está bien escrita y que los credenciales son correctos.
NewCube;Nuevo cubo
Number;Número
Objects;Objetos
GeneralOptions;Opciones generales
Sort;Ordenar
Custom;Personalizados
Percentage;Porcentaje
PercentageParameter;Porcentaje {0}
PercentageOfTheTotal;Porcentaje del total
ProductActivated;Producto activado
CubeProperties;Propiedades del cubo
RankingPercentage;Ranking %
UserSelection;Selección de usuario
FormatSelection;Selección formato
SelectCatalog;Seleccionar catálogo
SelectValues;Seleccionar valores
SelectTheType;Seleccione el tipo
SelectYourCountry;Seleccione su país
SelectAnObject;Seleccione un objeto
Server;Servidor
DoUpperCase;SI
DoNotUpperCase;NO
Synchronize;Sincronizar
SynchronizeProject;Sincronizar proyecto
SyntaxCorrect;Sintaxi correcta.
TechnicalSupport;Soporte técnico
SqlServerColonParameterParameterBetweenParentheses;SQL Server: {0} ({1})
Startup;Startup
CumulativeSum;Suma acumulada
CumulativeSumPercentageBetweenParentheses;Suma acumulada (%)
ReplaceWith;Sustituir por
TestText;Texto de prueba
TextWithoutFormat;Texto sin formato
NullValueLowerCase;valor nulo
TableValues;Valores de la tabla
ShowGroups;Ver grupos
CheckJoin;Verificar relación
CheckUniqueness;Verificar unicidad
VersionColonParameter;Versión: {0}
ParenthesesRestOfLatinAmerica;(Resto de América Latina)
ExclamationThanksForUsingCrono;¡Gracias por utilizar Crono!
TaskManager;Administrador de tareas
ManageRepositories;Administrar repositorios
ManageServers;Administrar servidores
AddExistingGitFolder;Agregar carpeta git existente
DragToTheRightPanelTheColumnsByWhichWantSortTheQuery;Arrastre al panel de la derecha las columnas por las que desea ordenar la consulta.
DragHereToCreateAFilter;Arrastre aquí para crear un filtro.
WindowsAuthentication;Autentificación Windows
WindowsAuthenticationColon;Autentificación Windows:
LookForUpdates;Buscar actualizaciones
CustomNumericFormatStrings;cadenas de formato numérico personalizado
ChangeLicenseNumber;Cambiar número de licencia
ChangesInTheLocalFolder;Cambios en la carpeta local
BackupsFolder;Carpeta copias de seguridad
CronoConfigurationFolder;Carpeta de configuración Crono
CloseWindowWhenExecutionFinished;Cerrar esta ventana al finalizar la ejecución
GroupColumnsColon;Columnas de agrupamiento:
OderColumnsColon;Columnas de ordenación:
AvailableColumnsColon;Columnas disponibles:
CheckAccessForColon;Comprobar acceso para:
ConfigureProxyServer;Configurar servidor proxy
KeepCloudChanges;Conservar cambios de la nube
KeepLocalChanges;Conservar cambios locales
KeepAllCloudChanges;Conservar todos los cambios de la nube
KeepAllLocalChanges;Conservar todos los cambios locales
ContainsUniqueValues;Contiene valores únicos
CronoUsesOpenSourceSoftwareAndThirdPartyApplications;Crono utiliza software de código abierto y otras aplicaciones de otros fabricantes.
DownloadUpdatesAutomatically;Descargar actualizaciones automáticamente
DownloadDirectoryColon;Directorio de descarga:
DownloadDirectory;Directorio de descargas
WorkDirectoryColon;Directorio de trabajo:
RunGarbageCollector;Ejecutar recolector de basura
ParameterizableBusinessItem;Elemento de negocio parametrizable
DeleteDatabaseParenthesesDropDatabase;Eliminar base de datos (DROP DATABASE)
ConfigurationFolderContainsComputerConnectionsAndOtherInformation;En la carpeta de configuración se guardan las conexiones de equipo y el resto de parámetros.
EnterYourLicenseNumber;Escriba su número de licencia
ThisInformationIsShared;Esta información es compartida
ThisStatisticsWindowCanHelpYouDetectCandidateFieldsToFormPrimaryKeyOrUniqueRestriction;Esta ventana de estadísticas le puede ayudar a detectar los campos candidatos a formar clave primaria o restricción UNIQUE.
WeStudyAndAppreciateAllRequestsWeRecive;Estudiamos y valoramos todas las peticiones que recibimos.
FormulaFromExistingColumnsInQuery;Fórmula a partir de las columnas existentes en la consulta
SaveConfigurationInTheProfileOfEachUser;Guardar la configuración en el perfil de cada usuario
SaveConfigurationInAFolderOnComputer;Guardar la configuración en una carpeta del equipo
LicenseInformation;Información de licencia
SystemInformation;Información del sistema
StartCronoExcelWhenOpeningMicrosoftExcel;Iniciar Crono Excel al abrir Microsoft Excel
EnterTheVariableParametersOfThisDocument;Introduzca los parámetros variables de este documento.
TheCronoExcelRegistryKeyExists;La clave del registro de Crono Excel existe
TheInformationIsSavedIn;La información se guarda en
LimitNumberOfRows;Limitar número de filas
MoreInformationAboutTheChanges;Más información sobre los cambios
ShowAdvancedGITFunctionalities;Mostrar funcionalidades avanzadas de GIT
ShowTextInSeparateWindowWhenDoubleClicking;Mostrar texto en ventana independiente al hacer doble click
ShowAllRows;Mostrar todas las filas
TheCronoExcelKeyDoesNotExistsInWindowsRegistry;No existe la clave de Crono Excel en el registro de Windows
NoRulesFoundForThisUser;No se ha encontrado ninguna regla para este usuario
NewCalculatedColumn;Nueva columna calculada
NewComputerConnection;Nueva conexión de equipo
NuevoCombinedAndOrFilter;Nuevo filtro combinado Y/O
AnotherSqlServer;Otro servidor SQL Server
ToInstallTheEvaluationVersionYouNeedALicenseNumberWithThisFormatColonXXX;Para instalar la versión de evaluación necesita un número de licencia con este formato: XXXX-XXXX-XXXX.
ForMoreInformationSeetheHelpAboutThe;Para más información consulte la ayuda sobre las
ForHelpingUsImproveCrono;por ayudarnos a mejorar Crono.
BetweenAllCronoApplicationsOfThisUser;por todas las aplicaciones Crono de este usuario.
BetweenAllCronoApplicationsAndUsersOfThisMachine;por todas las aplicaciones Crono y todos los usuarios de esta máquina
PercentageOfTheTotalCountOfRecords;Porcentaje del número total de registros
TaskScheduler;Programador de tareas
YouCanContactUsFromTheSupportWebsiteOrByEmail;Puede contactar con nosotros desde la web de soporte o mediante correo electrónico.
CountOfDifferentValues;Recuento de valores distintos
PathOrUrlOfTheCatalogColon;Ruta o Url del catálogo:
TheSampleDatabaseIsBeingDownloaded;Se está descargando la base de datos de ejemplo
DefaultServer;Servidor predeterminado
RegisteredServers;Servidores registrados
RegisteredServersColon;Servidores registrados:
IfNotHaveValidLicenseNumberCanRequestForFreeAtFollowingAddressColon;Si aún no dispone de un número de licencia válido, puede solicitarlo gratuitamente en la siguiente dirección:
UploadTheChangesToTheCloudAutomaticallyAfterSynchronize;Subir los cambios a la nube automáticamente después de sincronizar
ColumnFilterType;Tipo de filtro de columna
RemoteBackupsLocation;Ubicación remota copias de seguridad
UseThisScreenToLimitNumberOfRecordsReturnedOrSetRankingBasedOnOneOfTheColumns;Utilice esta pantalla para limitar el número de registros devueltos o para establecer un ránking basado en alguna de las columnas.
SelectedValues;Valores seleccionados
SeeObjectThatUseThisParameter;Ver objetos que usan este parámetro
VerifyConnectionToLocalDB;Verificar conexión a LocalDB
VerifyCredentials;Verificar credenciales
VerifyInstallation;Verificar instalación
VisitCronoWebsite;Visitar página web de Crono
IAlreadyHaveALicenseNumber;Ya tengo un número de licencia
IAlreadyHaveALicense;Ya tengo una licencia
HomeUpperCase;INICIO
Definition;Definición
Verify;Verificar
Diagram;Diagrama
QueyUpperCase;CONSULTA
DescriptionColon;Descripción:
NameColon;Nombre:
UserColon;Usuario:
PasswordColon;Password:
FontColon;Fuente:
UrlColon;Url:
ActionsColon;Acciones:
DatabaseColon;Base de datos:
Cancel;Cancelar
ConnectionColon;Conexión:
DiscardChanges;Descartar cambios
Disabled;Desactivado
ExecutingElipsis;Ejecutando...
Environment;Entorno
ListOfValues;Lista de valores
ListOfValuesColon;Lista de valores:
EditConnection;Modificar conexión
FullNameColon;Nombre completo:
ServerColon;Servidor:
DataTypeColon;Tipo de dato:
ParenthesesWithoutProxy;(sin proxy)
Activated;Activado
UpdateList;Actualizar lista
AdvancedPluralFemale;Avanzadas
BackgroundColorColon;Color de fondo:
QueriesColon;Consultas:
PasswordLocalizedColon;Contraseña:
EmailColon;Correo electrónico:
Design;Diseño
