_New	Nou
AskDeleteTheJobParameterBetweenQuotes	¿Eliminar el treball '{0}'?
OpenAllSubfolder	Obrir totes les carpetes
UpdateAvailableParameterBetweenParentheses	Actualització disponible ({0})
UpdateListOfValues	Actualitzar llista de valors
JobManager	Administrador de treballs
AddCalculatedColumn	Afegir columna calculada
AddCalculatedColumnElipsis	Afegir columna calculada ...
AddServerCronoExamples	Afegir servidor 'Exemples Crono'
TheDocumentMustBeSavedLocallyBeforePublishing	Abans de publicar s'ha de guardar el document localment.
AllConflictsMustBeResolvedBeforeSynchronizing	Abans de sincronitzar s'han de resoldre tots els conflictes
LoadedMainWindowParenthesesAfterParameterMs	Carregada MainWindow (després de {0} ms)
LoadedSplashParenthesesAfterParameterMs	Carregat Splash (després de {0} ms)
ConfigurationFolder	Carpeta de configuració
CloseOtherFolders	Tancar les altres carpetes
CloseAllFolders	Tancar totes les carpetes
ValidProductKey	Clau de producte vàlida.
CheckingFilesFromTheCloud	Comprovant fitxers del núvol
CheckingGitRepository	Comprovant repositori git ...
ComputerConnectionColonParameter	Connexió d'equip: {0}
DefaultConnection	Connexió per defecte
ConfigureParameters	Configura paràmetres
CopySuggestedCreateTable	Copiar CREATE TABLE suggerit
CopyFieldList	Copiar llista de camps
CopyCommaSeparatedFieldList	Copiar llista de camps separats per coma
EmailColonParameter	Correu electrònic: {0}
WhenGroupColumnsExistsNeedTospecifyOrderColumns	Quan hi columnes d'agrupament, també cal especificar columnes d'ordenació.
YouMustDefinieVariableToUseThem	Ha de definir les variables per poder usar-les.
YouMustSpecifyDataBaseNameForLocalCubes	Cal especificar el nom de la base de dades per les galledes locals.
YouMustSpecifyConnectionName	Cal especificar el nom de la connexió.
YouMustSpecifyFileName	Cal especificar el nom de l'arxiu
YouMustSpecifyParameterName	Cal especificar el nom de l'paràmetre
YouMustSpecifyANameForThisColumn	Cal especificar un nom per a aquesta columna.
YouMustSpecifyACorrectKeyForParameter	Cal especificar una clau correcta per al parámeto
YouMustSpecifyUserOrGroup	Cal especificar usuari o grup
YouMustSelectColumnsToCheck	Heu de seleccionar les columnes que vulgueu comprovar.
YouMustSelectaBusinessItem	Ha de seleccionar un element de negoci
YouMustSelectAnItem	Ha de seleccionar un element.
YouMustSelectAnAuthorizationType	Ha de seleccionar un tipus d'autorització
YouMustSelectAUser	Ha de seleccionar un usuari.
YouMustSelectAFolder	Heu de seleccionar una carpeta
YouMustSelectACatalogDimension	Heu de seleccionar una dimensió de l'catàleg
YouMustSpecifyTheItemName	Has d'especificar el nom de l'element.
DownloadingDatabase	Descarregant base de dades
WorkingDirectory	Directori de treball
ExpressionEditor	Editor d 'expressions
TheFileParameterBetweenQuotesIsOpenCloseItBeforeOverwriteIt	El fitxer '{0}' està obert, tanqueu-lo abans de sobreescriure.
TheFileParameterBetweenQuotesContainsErrorsThatPreventSavingAskCloseWithoutSaving	El fitxer '{0}' conté errors que impedeixen guardar, Voleu tancar sense desar?
TheFileContainsErrorsAndNotPossibleToSave	L'arxiu té errors i no ha estat possible guardar-lo.
TheFileDoesNotHaveTheExpectedVersion	L'arxiu no té la versió esperada
TheSelectedDirectoryIsNotAGitDirectory	El directori seleccionat no és un directori git.
TheSelectedDirectoryIsNotEmpty	El directori seleccionat no està buit.
TheSelectedDirectoryDoesNotExists	El directori seleccionat no existeix.
TheFileMustBeInsideParameterBetweenQuotes	El fitxer ha de trobar-se dins de '{0}'
TheFileIsNotAsExpected	El hash de l'arxiu no és l'esperat
TheColumnNameCannotBeginWithArroba	El nom de la columna no pot començar per @.
TheObjectTypeParameterBetweenQuotesNotValidSource	L'objecte de tipus '{0}' no és un origen vàlid.
TheParameterParameterIsCatalogParameterAndCannotDelete	El paràmetre {0} és un paràmetre de catàleg i no es pot eliminar.
TheRepositoryIsNotOnHead	El repositori no està en el HEAD.
TheTextHasBeenCopiedToClipboard	El text s'ha copiat al porta-retalls.
TheTypeParameterBetweenParenthesesIsNotEnumeration	El tipus '{0}' no és una enumeració
TheUsesDoesNotBelongToAnyGroup	L'usuari no pertany a cap grup.
TheDefaultValueIsBadlyDefined	El valor per defecte està mal definit.
SelectedValueInParameterCausesRecursionSelectAnotherValue	El valor seleccionat en {0} causa recursivitat, si us plau, seleccioni un altre valor.
SelectedValuesUsesThisParameterSelectAnotherValueToAvoidRecursion	El valor seleccionat fa servir aquest paràmetre, si us plau, seleccioni un altre valor per evitar recursivitat.
DeleteParenthesesParameterColumns	Eliminar ({0} columnes)
DeleteSelected	Eliminar seleccionats
DeleteAllColumns	Eliminar totes les columnes
ErrorDisplayingRequestResultParameterBetweenQuotes	Error a l'mostrar el resultat de la petició '{0}'.
ErrorGettingParameter	Error a l'obtenir {0}
IntentionallyCausedError	Error provocat intencionadament
ThisActionDoesNotContainAnyPropertyThatCouldBeModified	Aquesta acció no conté cap propietat que es pugui modificar.
ThisJoinIsMarkedToNotCheck	Aquesta relació està marcada perquè no es verifiqui.
ThisJoinHasReferentialIntegrityInDatabase	Aquesta relació té integritat referencial a la base de dades.
SetParameter	Establir {0}
StatisticsOfTheResult	Estadístiques d'el resultat
TheseColumnsTogether	Aquestes columnes, en conjunt,
ThisFilterAppliesAllSheets	Aquest filtre s'aplica a tots els fulls
ThisFilterAppliesOnlyThisSheetColonParameter	Aquest filtre s'aplica només en aquest full: {0}
ThisFilterDoesNotApplyAnySheet	Aquest filtre no s'aplica a cap full
ExcludeParameterInThisQuery	Excloure {0} en aquesta consulta
ThereIsASyntaxError	Ha un error de sintaxi.
ServerExplorer	Explorador de servidors
FilterBusinessItems	Filtrar elements de negoci
FilterOnTheFollowingPanels	Filtrar en els panells següents
FilterOnAllSheets	Filtrar en tots els fulls
FilterOnAllPanels	Filtrar en tots els panells
FilterOnlyOnThisSheet	Filtrar només en aquest full
FilterOnlyInThisPanel	Filtrar només en aquest panell
FormatParenthesesParameterColumns	Format ({0} columnes)
NotImplementedFormat	Format no implementat
FormulaValidatedCorrectly	Fórmula validada correctament
GenericColonParameter	Genèrica: {0}
TheConnectionToTheServerHasFailed	Ha fallat la connexió amb el servidor
ThereWasAnErrorWhileCommitting	Hi ha hagut un error mienstras es feia commit.
ThereWasAProblemWhileRegisteringCheckInternetOrContactCrono	Hi ha hagut un problema a l'hora de registrar el producte. Revisi la seva connexió a internet o poseu-vos en contacte amb info@crono.net.
AnErrorOccurredDuringExecution	Hi ha hagut un error durant l'execució.
AnErrorOccurredDuringPublication	Hi ha hagut un error durant la publicació.
AnErrorOccurredDuringDataValidation	Hi ha hagut un error durant la validació de les dades.
AnErrorOccurredInTheApplicationAndWillNowClose	Hi ha hagut un error en l'aplicació i va a tancar-se.
AnUnexpectedErrorOccurredWhileExportingInformation	Hi ha hagut un error imprevist a l'exportar la informació ...
AnUnexpectedErrorOccurredDuringThisCommandExecution	Hi ha hagut un error imprevist durant l'execució d'aquesta comanda.
ThereHaveBeenNewCommitsSinceTheLastCheck	Hi ha hagut nous commits des de l'última comprovació.
ThereAreFilesInStage	Hi ha fitxers en stage
ThereIsAnErrorWithTheQuery	Hi ha un error amb la consulta
ThereIsAnIncompleteMerge	Hi ha un merge incomplet.
DeviceIdentifierColonParameter	Identificador de l'equip: {0}
IndicatesWhetherVariableModificationsAreMadeDirectlyOnTheListOrInACopy	Indica si les modificacions que es facin sobre les variables es realitzen directament sobre la llista passada per paràmetre a la propietat variable o es realitzaran en una còpia
SessionInformation	Informació de sessió
EnterTheLicenseNumber	Introduïu el número de llicència.
EnterAContactEmail	Introduïu un correu electrònic de contacte
TheFolderParameterBetweenQuotesNotContainGitRepository	La carpeta '{0}' no conté un repositori git.
TheConnectionIsNotDefined	La connexió no està definida
TheDefinitionContainsSyntaxError	La definició conté algun error de sintaxi
TheExpressionIsNotCorrect	L'expressió no és correcta.
TheExpressionIsNotAFilter	L'expressió no és un filtre
TheExpressionMustBeAQuery	La instrucció ha de ser una consulta
ThePropertyParameterIsReadOnly	La propietat '{0}' és de només lectura.
ThePropertyParameterIsReadOnlyAndCannotBeSetByBinding	La propietat '{0}' és readonly i no es pot establir per binding.
ThePropertyParameterIsReadOnlyAndItsValueCannotBeSetExternally	La propietat '{0}' és readonly i no es pot establir el seu valor externament.
ThePropertyParameterBetweenQuotesNotExistsInModelParameterBetweenParentheses	La propietat '{0}' no existeix en el model ({1})
TheListPropertyIsNotEnumerableType	La propietat de llista no és de l'tipus enumerable
ListPropertyHasNotBeenFound	La propietat de llista no s'ha trobat
TheSQLStatementIsCorrect	La sentència SQL és correcta.
LocateInCatalog	Localitzar en catàleg
ChangesMadeToFileParameterBetweenQuotesWillBeLostAskContinueAnyway	Els canvis realitzats en el fitxer '{0}' es perdran. ¿Continua de totes maneres?
FiltersWillAlwaysApplyToThePanelsWhereTheyAreIn	Els filtres sempre s'aplicaran als panells en què es troben.
ReportsFromCubesAreNotYetAvailable	Els informes des cubs no estan disponibles encara
TheParameterParameterHasNotBeenDefined	El paràmetre {0} no s'ha definit.
RamMemoryColonParameterMb	Memòria RAM: {0: N2} MB
ShowColumnSelector	Mostra selector de columnes
YouNeedLinceseNumberToUseCronoSolutionCanGetOneFromDemoCrono	Necessita un número de llicència per utilitzar la solució Crono. Pot obtenir-ne un gratuïtament des http://demo.crono.net
NoObjectInCatalogUsesTheParameterParameterBetweenQuotes	Cap objecte al catàleg utilitza el paràmetre '{0}'
ThePropertyParameterBetweenQuotesNotExistsInParameterBetweenQuotesParenthesesViewModelColonParameterBetweenQuotes	No existeix la propietat '{0}' a '{1}' (viewmodel: '{2}')
DoNotFilterOnThisSheet	No filtrar en aquest full
CouldNotValidateLicenseNumberMayBeProblemsWithInternetConnectionOrServerMeyNotBeOperationalAtThisTimeTryItAgainLater	No ha pogut validar el número de llicència. És possible que hi hagi problemes amb la seva connexió a Internet o que el servidor no estigui operatiu en aquest moment. Ho a provar més tard.
ItWasNotPossibleToUseThisCatalog	No ha estat possible utilitzar aquest catàleg
ItWasNotPossibleToValidateProductKey	No ha estat possible validar la clau de producte.
ThereAreNoPendingChanges	No hi ha canvis pendents
ThereIsNoEstablishedConnectionAtThisTime	No hi ha cap connexió establerta en aquest moment.
ThePublicationAddresHasNotBeenConfigured	No s'ha configurat la direcció de publicació.
AnOriginHasNotBeenConfiguredInTheRepository	No s'ha configurat un 'origin' al repositori.
TheColorThemeLibraryWasNotFoundColon	No s'ha trobat la llibreria de el tema de colors:
NoCatalogFoundOnTheSpecifiedRoute	No s'ha trobat cap catàleg a la ruta especificada
CouldNotOpenJobColonParameter	No s'ha pogut obrir el treball: {0}
CouldNotUpdateServerInformation	No s'ha pogut actualitzar la informació de servidor
CouldNotAssignValue	No s'ha pogut assignar el valor.
CouldNotChangeRegistryValue	No s'ha pogut canviar el valor de l'registre
CouldNotCloneRepository	No s'ha pogut clonar el repositori.
CouldNotGenerateFileParameterBetweenQuotes	No s'ha pogut generar el fitxer '{0}'.
NoServersHaveBeenRegistered	No s'ha registrat cap servidor
NoSourceHasBeenSelected	No s'ha seleccionat cap origen.
CouldNotGenerateSDLViewOfParameterBetweenQuotes	No s'han pogut generar la vista SDL d' '{0}'
NoFilesHaveBeenSelected	No s'ha seleccionat fitxers.
ThisPanelCannotBeExportedInCardsMode	No es pot exportar aquest panell en la manera de presentació 'Targetes'
CannotSaveIntoFolderParameterBetweenQuotes	No es pot guardar a la carpeta '{0}'
CannotLocateMapFileParameterBetweenQuotes	No es pot localitzar el fitxer de mapes '{0}'
YouHaveNoRegisteredServerThatSupportsPublishingAskWantToAddOneNow	No té cap servidor registrat que admeti publicació, Voleu afegir un ara?
LicenseNumberColonParameter	Número de llicència: {0}
ObjectForTheListOfValues	Objecte per a la llista de valors
ObjectsUsingParameter	Objectes que fan servir {0}
GetsOrSetsACollectionUsedToGenerateTheDatagridContent	Obté o estableix una recol·lecció que s'utilitza per generar el contingut de l'DataGrid
GetsACollectionOfDatagridColumns	Obté una col·lecció de columnes de l'DataGrid
HideParenthesesParameterColumns	Amaga ({0} columnes)
AnErrorOcurredDuringSynchronization	S'ha produït un error durant la sincronització.
PassAllToQuery	Passar tots a consulta
PercentageWithRespectToAGroup	Percentatge respecte a un grup
ProblemGettingPropertyParameterBetweenQuotesOfAParameterBetweenQuotes	Problema a l'obtenir la propietat '{0}' d'un '{1}'
UnregisteredProduct	Producte no registrat
PropertyParameterBetweenQuotesLinkedToIncorrectType	Propietat '{0}' enllaçada a tipus incorrecte
PropertyParameterBetweenQuotesNotFoundInObjectOfTypeParameterBetweenQuotes	Propietat '{0}' no trobada en l'objecte de l'tipus '{1}'.
FolderProperties	Propietats de carpeta
ColumnProperties	Propietats de columna
FilterProperties	Propietats de filtre
CubeElementProperties	Propietats de l'element de la galleda
RepositoryProperties	Propietats repositori
ReferenceToNonExistentPropertyColon	Referència a propietat inexistent:
HighlightCompatibleObjects	Ressaltar els objectes compatibles
TheExpressionMustBeSpecified	S'ha d'especificar l'expressió.
ACommitMessageMustBeSpecified	S'ha d'especificar un missatge de commit.
TheJobMustBeNamed	S'ha de nomenar el treball.
AtLeastParameterParameterMustBeSelected	S'ha de seleccionar al menys {0} {1}
TheDestinationDirectoryMustBeSelected	S'ha de seleccionar el directori de destinació.
ACalendarMustBeSelected	S'ha de seleccionar un calendari.
ADirectoryMustBeSelected	S'ha de seleccionar un directori.
AFileToExecuteMustBeSelected	S'ha de seleccionar un fitxer a executar
ASingleQueryMustBeUsed	S'ha d'utilitzar una única consulta
AnoObjectOfTypeTypeWasExpectedButIsTypeParameterBetweenQuotes	S'esperava un objecte de l'tipus 'Type' però és de l'tipus '{0}'
TheTableIsMaterializing	S'està materialitzant la taula
TheRepositoryHasBeenAccessedCorrectly	S'ha accedit a el repositori correctament.
RegistrationCompletedSuccessfully	S'ha completat el registre satisfactòriament.
TheDatabaseWasCreatedAndConnectionHasBeenEstablishedCorrectly	S'ha creat la base de dades i s'ha establert la connexió correctament.
TheDatabaseHasBeenDeletedSuccessfully	S'ha eliminat la base de dades correctament.
TheConnectionToCronoServerHasBeenEstablishedSuccessfully	S'ha establert correctament la connexió amb el servidor de Crono.
ItHasBeenPublishedCorrectly	S'ha publicat correctament.
UpdatesHaveBeenLookedFor	S'han buscat actualitzacions
ParameterDifferentCombinationsHaveBeenFound	S'han trobat {0: N0} combinacions diferents.
TheLookForUpdatesStarts	S'inicia la recerca d'actualitzacions
TheDatabaseParameterIsGoingToBeDeletedWithAllItsContentAskAreSureWantContinue	Es va eliminar completament la base de dades {0} i tot el seu contingut. Esteu segur que vol continuar?
SelectParameterInThisQuery	Seleccionar {0} en aquesta consulta
SelectGreaterThanOrEqualTo	Seleccionar major o igual que
SelectLessThanOrEqualTo	Seleccionar menor o igual que
SelectLocation	Seleccionar ubicació
SelectTheImageFile	Seleccioneu el fitxer d'imatge
SelectTheCatalogLanguage	Seleccioneu l'idioma de l'catàleg
SelectTheActionTypeYouWantCreate	Seleccioneu el tipus d'acció que voleu crear.
SelectTheJob	Seleccioneu el treball
SelectBusinessElementsTahtWillBeAllowedToChoosesWhenAskingTheParameter	Seleccioneu els elements de negoci que es permetran escollir quan es pregunti pel paràmetre.
SelectTheValuesToFilterBy	Seleccioneu els valors pels quals filtrar.
SelectACatalogWithWhichToBuildYourReport	Seleccioneu un catàleg amb el qual construir el seu informe
SelectADirectory	Seleccioneu un directori
SelectAnItemFromCatalog	Seleccioneu un element del catàleg.
SelectADimension	Seleccioneu una dimensió.
ServerForLocalCubes	Servidor per cubs locals
IfPasswordIsSpecifiedAUserMustAlsoBeSpecified	Si s'especifica una clau també s'ha d'especificar un usuari.
SynchronizationCompleted	Sincronització completada.
OperatingSystemColonParameter	Sistema operatiu: {0}
OnlyPaginaViewItemAndPaginaViewGroupItemAreAllowed	Només s'admeten 'PaginaViewItem' i 'PaginaViewGroupItem'
SplashScreenClosedParenthesesAfterParameterMs	SplashScreen tancada (després de {0} ms)
InstallationTypeColonParameter	Tipus d'instal·lació: {0}
ValidatingProductKeyElipsis	Validant clau de producte ...
ValidateLicenseNumber	Validar número de llicència
NotAllowedValueInParameter	Valor no admès en {0}
ShowVerificationErrors	Veure errors de verificació
ShowVerificationStatement	Veure sentencia de verificació
InstallationVerification	Verificació de la instal·lació
AParameterWithThisKeyAlreadyExists	Ja existeix un paràmetre amb aquesta clau
WouldYouLikeToDefineThemNow	Voleu definir-los ara?
WouldYouLikeToDefineItNow	Voleu definir-ara?
TheBusinessItemLowerCase	l'element de negoci
Execute	Executar
ParenthesesParameterMs	({0} ms)
AskWantToCheckThisJoinLastVerificationDataColonParameterLastVerificationTimeColonParameterSeconds	Voleu verificar aquesta relació?|Data última verificació: {0}|Temps última verificació: {1} segons
TheParentTypeIsParameterWithCronoSqlColonParameter	El pare és de l'tipus {0} amb CronoSql:|{1}
FailedToFindPropertyParameterBetweenQuotesInObjectTypeParameterBetweenQuotesParameter	Decisió a l'buscar la propietat '{0}' en l'objecte de tipus '{1}'|{2}
FailedToSetPropertyParameterBetweenQuotesParameter	Decisió a l'establir la propietat '{0}'|{1}
TheFilePublicationDateOnServerNotMatchCurrentOneAskPostAnywayLastPublicationInformationColonParameter	La data de publicació de l'fitxer al servidor no concorda amb l'actual.|Publicar igualment?||Informació d'última publicació:|{0}
TheConnectionParameterBetweenQuotesToAccessTheDatabaseDoesNotExistsAskWantCreateItNow	No hi ha la connexió ' {0} ' per accedir a la base de dades.|Voleu crear-ara?
Format	Format
Exclude	Excloure
_Select	Seleccionar
Accept	Acceptar
Enable	Activa
ManageFilters	Administrar filtres
Disable	Desactivar
Documentation	Documentació
EditQuery	Edita consulta
FilterOn	Filtra sobre la
General	General
NewAction	Nova acció
NewFilter	Nou filtre
Hide	Amaga
OrganizationColonParameter	Organització: {0}
PassToQuery	Passar a consulta
PassToFormula	Passar a fórmula
Registration	Registre
Log	Registre
PercentageSalesMarginAVsCostB	% Marge de venda A vs cost B
PercentageVariationOfAVsB	% Variació d'A vs B
AMinusBDividedBPercentageBetweenParentheses	(A-b) / b (Percentatge)
ParameterAccumulated	{0} acumulat
ADivideBPercentageBetweenParentheses	a / b (Percentatge)
ADivideBRatioBetweenParentheses	a / b (Ràtio)
AboutCrono	Sobre Crono
Acknowledgment	Agraïments
AddColumn	Afegir columna
Authorization	Autorització
Basics	Bàsics
Calendar	Calendari
GoogleCalendar	Calendari de Google
FolderOnServer	Carpeta en servidor
LocalFolder	Carpeta local
Scientific	Científic
ProductKey	Clau del producte
ForeignKey	Clau externa
Cloning	Clonant
Clone	Clonar
CloneRepository	Clonar repositori
Commit	Commit
CheckingStatus	Comprovar estat
CheckingHead	Comprovant HEAD
CheckingSource	Comprovant origen
CheckingStage	Comprovant stage
NetworkConfiguration	Configuració de xarxa
ConfigureConnection	Configura connexió
ConfigureOrderBy	Configura ORDER BY
ConfigureTop	Configura TOP
ContactColonParameter	Contacte: {0}
CopyName	Copia nom
Correct	Correcte
SplashCreated	Creat Splash
Credentials	Credencials
Available	Disponible
Duration	Durada
Edit	Edita
EditExpression	Edita expressió
SqlQueryEditor	Editor consulta SQL
CronoSqlEditor	Editor Crono SQL
QueryEditor	Editor de consulta
PermissionsEvaluatedSequentiallyInCaseContradictoryAssignmentsLastPrevailsIfNoPermissionApplicableDefaultApplicationPermissionsAreMaintained	Els permisos s'avaluen seqüencialment. En cas d'assignacions contradictòries preval l'últim de la llista.||Si cap permís específic és aplicable, es mantenen els permisos per defecte de l'aplicació.
DeleteColumn	Eliminar columna
BindingErrorsColon	Errors de binding:
Statistics	Estadístiques
Eula	EULA
Explorer	Explorador
Export	Exporta
DateAndTime	Data i hora
ColumnFilter	Filtre de columna
AdvancedFilters	Filtres avançats
Print	Imprimir
Start	Inici
EnterYourCity	Introdueixi la seva ciutat
EnterYourName	El teu nom
TheRequestToParameterBetweenParenthesesWasResolvedWithTheCodeColonParameterParameter	La petició a '{0}' es va resoldre amb el codi:||{1} {2}
ExpiredLicense	Llicència caducada
LicenceDeleted	Llicència eliminada.
ClearFilters	Netejar filtres
ClearValue	Netejar valor
TheFollowingFilesAreLockedCloseProgramsMayBeUsingThemAndTrySynchronizeAgain	Els següents fitxers estan bloquejats, tanqui els programes que puguin estar utilitzant aquests fitxers i intenti sincronitzar de nou.||{0}
ErrorMessage	Missatge d'error
Currency	Moneda
ShowingMainWindow	Ara es mostren MainWindow
ShowWarnings	Mostra avisos
ShowSummations	Mostra sumatoris
NotAvailable	No disponible
CouldNotConnectToTheCloudParameter	No s'ha pogut connectar al núvol.||{0}
CouldNotGetRepositoryInformationCheckRepositoryAddressIsWellWrittenAndCredentialsAreCorrect	No s'ha pogut obtenir informació de l'arxiu.||Comproveu que la direcció de l'repositori està ben escrita i que els credencials són correctes.
NewCube	Nou cub
Number	Nombre
Objects	Objectes
GeneralOptions	Opcions generals
Sort	Ordenar
Custom	Personalitzats
Percentage	Percentatge
PercentageParameter	Percentatge {0}
PercentageOfTheTotal	Percentatge de l'total
ProductActivated	Producte activat
CubeProperties	Propietats de la galleda
RankingPercentage	Rànquing%
UserSelection	Selecció d'usuari
FormatSelection	Selecció format
SelectCatalog	Seleccionar catàleg
SelectValues	Seleccionar valors
SelectTheType	Seleccioneu el tipus
SelectYourCountry	Seleccioni el seu país
SelectAnObject	Seleccioneu un objecte
Server	Servidor
DoUpperCase	SI
DoNotUpperCase	NO
Synchronize	Sincronitzar
SynchronizeProject	Sincronitzar projecte
SyntaxCorrect	Sintaxi correcta.
TechnicalSupport	Suport tècnic
SqlServerColonParameterParameterBetweenParentheses	SQL Server: {0} ({1})
Startup	Startup
CumulativeSum	Suma acumulada
CumulativeSumPercentageBetweenParentheses	Suma acumulada (%)
ReplaceWith	Substituir per
TestText	Text de prova
TextWithoutFormat	Text sense format
NullValueLowerCase	valor nul
TableValues	Valors de la taula
ShowGroups	Veure grups
CheckJoin	Verificar relació
CheckUniqueness	Verificar unicitat
VersionColonParameter	Versió: {0}
ParenthesesRestOfLatinAmerica	(Resta d'Amèrica Llatina)
ExclamationThanksForUsingCrono	Gràcies per utilitzar Crono!
TaskManager	Administrador de tasques
ManageRepositories	Administrar repositoris
ManageServers	Administrar servidors
AddExistingGitFolder	Afegeix una carpeta git existent
DragToTheRightPanelTheColumnsByWhichWantSortTheQuery	Arrossegueu a el panell de la dreta les columnes per les quals voleu ordenar la consulta.
DragHereToCreateAFilter	Arrossegueu fins aquí per crear un filtre.
WindowsAuthentication	Autenticació Windows
WindowsAuthenticationColon	Autentificació Windows:
LookForUpdates	Cerca actualitzacions
CustomNumericFormatStrings	cadenes de format numèric personalitzat
ChangeLicenseNumber	Canviar número de llicència
ChangesInTheLocalFolder	Canvis en la carpeta local
BackupsFolder	Carpeta còpies de seguretat
CronoConfigurationFolder	Carpeta de configuració Crono
CloseWindowWhenExecutionFinished	Tancar aquesta finestra a l'finalitzar l'execució
GroupColumnsColon	Columnes d'agrupament:
OderColumnsColon	Columnes d'ordenació:
AvailableColumnsColon	Columnes disponibles:
CheckAccessForColon	Comprovar accés per:
ConfigureProxyServer	Configura servidor intermediari
KeepCloudChanges	Conservar canvis del núvol
KeepLocalChanges	Conservar canvis locals
KeepAllCloudChanges	Conservar tots els canvis del núvol
KeepAllLocalChanges	Conservar tots els canvis locals
ContainsUniqueValues	Conté valors únics
CronoUsesOpenSourceSoftwareAndThirdPartyApplications	Crono utilitza programari de codi obert i altres aplicacions d'altres fabricants.
DownloadUpdatesAutomatically	Descarregar actualitzacions automàticament
DownloadDirectoryColon	Directori de descàrrega:
DownloadDirectory	Directori de descàrregues
WorkDirectoryColon	Directori de treball:
RunGarbageCollector	Executar recol·lector d'escombraries
ParameterizableBusinessItem	Element de negoci parametritzable
DeleteDatabaseParenthesesDropDatabase	Eliminar base de dades (DROP DATABASE)
ConfigurationFolderContainsComputerConnectionsAndOtherInformation	A la carpeta de configuració es guarden les connexions d'equip i la resta de paràmetres.
EnterYourLicenseNumber	Escrigui el seu número de llicència
ThisInformationIsShared	Aquesta informació és compartida
ThisStatisticsWindowCanHelpYouDetectCandidateFieldsToFormPrimaryKeyOrUniqueRestriction	Aquesta finestra d'estadístiques li pot ajudar a detectar els camps candidats a formar clau primària o restricció UNIQUE.
WeStudyAndAppreciateAllRequestsWeRecive	Estudiem i valorem totes les peticions que rebem.
FormulaFromExistingColumnsInQuery	Fórmula a partir de les columnes existents a la consulta
SaveConfigurationInTheProfileOfEachUser	Guardar la configuració en el perfil de cada usuari
SaveConfigurationInAFolderOnComputer	Guardar la configuració en una carpeta de l'equip
LicenseInformation	Informació de llicència
SystemInformation	Informació de el sistema
StartCronoExcelWhenOpeningMicrosoftExcel	Iniciar Crono Excel a l'obrir Microsoft Excel
EnterTheVariableParametersOfThisDocument	Introduïu els paràmetres variables d'aquest document.
TheCronoExcelRegistryKeyExists	La clau de l'registre de Crono Excel existeix
TheInformationIsSavedIn	La informació es guarda en
LimitNumberOfRows	Limitar nombre de files
MoreInformationAboutTheChanges	Més informació sobre els canvis
ShowAdvancedGITFunctionalities	Mostra funcionalitats avançades de GIT
ShowTextInSeparateWindowWhenDoubleClicking	Mostra text en finestra independent a l'fer doble clic
ShowAllRows	Mostra totes les files
TheCronoExcelKeyDoesNotExistsInWindowsRegistry	No hi ha la clau de Crono Excel en el registre de Windows
NoRulesFoundForThisUser	No s'ha trobat cap regla per a aquest usuari
NewCalculatedColumn	Nova columna calculada
NewComputerConnection	Nova connexió d'equip
NuevoCombinedAndOrFilter	Nou filtre combinat I / O
AnotherSqlServer	Un altre servidor SQL Server
ToInstallTheEvaluationVersionYouNeedALicenseNumberWithThisFormatColonXXX	Per instal·lar la versió d'avaluació necessita un número de llicència amb aquest format: XXXX-XXXX-XXXX.
ForMoreInformationSeetheHelpAboutThe	Per a més informació vegeu l'ajuda sobre les
ForHelpingUsImproveCrono	per ajudar-nos a millorar Crono.
BetweenAllCronoApplicationsOfThisUser	per totes les aplicacions Crono d'aquest usuari.
BetweenAllCronoApplicationsAndUsersOfThisMachine	per totes les aplicacions Crono i tots els usuaris d'aquesta màquina
PercentageOfTheTotalCountOfRecords	Percentatge de el nombre total de registres
TaskScheduler	Programador de tasques
YouCanContactUsFromTheSupportWebsiteOrByEmail	Pot contactar amb nosaltres des de la web de suport o mitjançant correu electrònic.
CountOfDifferentValues	Recompte de valors diferents
PathOrUrlOfTheCatalogColon	Ruta o Url de l'catàleg:
TheSampleDatabaseIsBeingDownloaded	S'està descarregant la base de dades d'exemple
DefaultServer	Pares servidor
RegisteredServers	Servidors registrats
RegisteredServersColon	Servidors registrats:
IfNotHaveValidLicenseNumberCanRequestForFreeAtFollowingAddressColon	Si encara no disposa d'un número de llicència vàlid, pot sol·licitar-se gratuïtament en la següent adreça:
UploadTheChangesToTheCloudAutomaticallyAfterSynchronize	Pujar els canvis al núvol automàticament després de sincronitzar
ColumnFilterType	Tipus de filtre de columna
RemoteBackupsLocation	Ubicació remota còpies de seguretat
UseThisScreenToLimitNumberOfRecordsReturnedOrSetRankingBasedOnOneOfTheColumns	Utilitzeu aquesta pantalla per limitar el nombre de registres retornats o per establir un rànquing basat en alguna de les columnes.
SelectedValues	Valors seleccionats
SeeObjectThatUseThisParameter	Veure objectes que fan servir aquest paràmetre
VerifyConnectionToLocalDB	Verificar connexió a LocalDB
VerifyCredentials	Verificar credencials
VerifyInstallation	Verificar instal·lació
VisitCronoWebsite	Visitar pàgina web de Crono
IAlreadyHaveALicenseNumber	Ja tinc un número de llicència
IAlreadyHaveALicense	Ja tinc una llicència
HomeUpperCase	INICI
Definition	Definició
Verify	Verificar
Diagram	Diagrama
QueyUpperCase	CONSULTA
DescriptionColon	Descripció:
NameColon	Nom:
UserColon	Usuari:
PasswordColon	Password:
FontColon	Font:
UrlColon	Url:
ActionsColon	Accions:
DatabaseColon	Base de dades:
Cancel	Cancel
