_New;Novo
AllConflictsMustBeResolvedBeforeSynchronizing;Antes de sincronizar, todos os conflitos devem ser resolvidos
LoadedMainWindowParenthesesAfterParameterMs;MainWindow carregado (após {0} ms)
LoadedSplashParenthesesAfterParameterMs;Splash carregado (após {0} ms)
ConfigurationFolder;Pasta de configuração
CloseOtherFolders;Feche as outras pastas
CloseAllFolders;Feche todas as pastas
ValidProductKey;Chave de produto válida.
CheckingFilesFromTheCloud;Verificando arquivos da nuvem
CheckingGitRepository;Verificando o repositório git ...
ComputerConnectionColonParameter;Conexão do dispositivo: {0}
DefaultConnection;Conexão padrão
ConfigureParameters;Configurar parâmetros
CopySuggestedCreateTable;Copiar CREATE TABLE sugerido
CopyFieldList;Copiar lista de campos
CopyCommaSeparatedFieldList;Copiar lista de campos separados por vírgula
EmailColonParameter;E-mail: {0}
WhenGroupColumnsExistsNeedTospecifyOrderColumns;Quando existem colunas de agrupamento, também é necessário especificar colunas de classificação.
YouMustDefinieVariableToUseThem;Você deve definir as variáveis para usá-las.
YouMustSpecifyDataBaseNameForLocalCubes;Você deve especificar o nome do banco de dados para cubos locais.
YouMustSpecifyConnectionName;Você deve especificar o nome da conexão.
YouMustSpecifyFileName;Você deve especificar o nome do arquivo
YouMustSpecifyParameterName;Você deve especificar o nome do parâmetro
YouMustSpecifyANameForThisColumn;Você deve especificar um nome para esta coluna.
YouMustSpecifyACorrectKeyForParameter;Você deve especificar uma chave correta para o parâmetro
YouMustSpecifyUserOrGroup;Você deve especificar usuário ou grupo
YouMustSelectColumnsToCheck;Você deve selecionar as colunas que deseja verificar.
YouMustSelectaBusinessItem;Você deve selecionar um item de negócios
YouMustSelectAnItem;Você deve selecionar um item.
YouMustSelectAnAuthorizationType;Você deve selecionar um tipo de autorização
YouMustSelectAUser;Você deve selecionar um usuário.
YouMustSelectAFolder;Você deve selecionar uma pasta
YouMustSelectACatalogDimension;Você deve selecionar uma dimensão de catálogo
YouMustSpecifyTheItemName;Você deve especificar o nome do item.
DownloadingDatabase;Fazendo download do banco de dados
WorkingDirectory;Diretório de trabalho
ExpressionEditor;Editor de Expressão
TheFileParameterBetweenQuotesIsOpenCloseItBeforeOverwriteIt;O arquivo '{0}' está aberto, feche-o antes de substituí-lo.
TheFileParameterBetweenQuotesContainsErrorsThatPreventSavingAskCloseWithoutSaving;O arquivo '{0}' contém erros que impedem o salvamento. Deseja fechar sem salvar?
TheFileContainsErrorsAndNotPossibleToSave;O arquivo contém erros e não foi possível salvá-lo.
TheFileDoesNotHaveTheExpectedVersion;O arquivo não possui a versão esperada
TheSelectedDirectoryIsNotAGitDirectory;O diretório selecionado não é um diretório git.
TheSelectedDirectoryIsNotEmpty;O diretório selecionado não está vazio.
TheSelectedDirectoryDoesNotExists;O diretório selecionado não existe.
TheFileMustBeInsideParameterBetweenQuotes;O arquivo deve estar dentro de '{0}'
TheFileIsNotAsExpected;O hash do arquivo não é o esperado
TheColumnNameCannotBeginWithArroba;O nome da coluna não pode começar com @.
TheObjectTypeParameterBetweenQuotesNotValidSource;O objeto do tipo '{0}' não é uma fonte válida.
TheParameterParameterIsCatalogParameterAndCannotDelete;O parâmetro {0} é um parâmetro de catálogo e não pode ser excluído.
TheRepositoryIsNotOnHead;O repositório não está no HEAD.
TheTextHasBeenCopiedToClipboard;O texto foi copiado para a área de transferência.
TheTypeParameterBetweenParenthesesIsNotEnumeration;O tipo '{0}' não é uma enumeração
TheUsesDoesNotBelongToAnyGroup;O usuário não pertence a nenhum grupo.
TheDefaultValueIsBadlyDefined;O valor padrão está definido incorretamente.
SelectedValueInParameterCausesRecursionSelectAnotherValue;O valor selecionado em {0} causa recursão, selecione outro valor.
SelectedValuesUsesThisParameterSelectAnotherValueToAvoidRecursion;O valor selecionado usa esse parâmetro. Selecione outro valor para evitar recursão.
DeleteParenthesesParameterColumns;Excluir ({0} colunas)
DeleteSelected;Excluir selecionado
DeleteAllColumns;Remova todas as colunas
ErrorDisplayingRequestResultParameterBetweenQuotes;Erro ao exibir o resultado da solicitação '{0}'.
ErrorGettingParameter;Erro ao obter {0}
IntentionallyCausedError;Erro causado intencionalmente
ThisActionDoesNotContainAnyPropertyThatCouldBeModified;Esta ação não contém nenhuma propriedade que possa ser modificada.
ThisJoinIsMarkedToNotCheck;Esse relacionamento é marcado para que não seja verificado.
ThisJoinHasReferentialIntegrityInDatabase;Esse relacionamento tem integridade referencial no banco de dados.
SetParameter;Defina {0}
StatisticsOfTheResult;Estatísticas de resultados
TheseColumnsTogether;Essas colunas, juntas,
ThisFilterAppliesAllSheets;Este filtro se aplica a todas as folhas
ThisFilterAppliesOnlyThisSheetColonParameter;Este filtro se aplica apenas a esta planilha: {0}
ThisFilterDoesNotApplyAnySheet;Este filtro não se aplica a nenhuma planilha
ExcludeParameterInThisQuery;Excluir {0} nesta consulta
ThereIsASyntaxError;Há um erro de sintaxe.
ServerExplorer;Server explorer
FilterBusinessItems;Filtrar itens de negócios
FilterOnTheFollowingPanels;Filtrar nos seguintes painéis
FilterOnAllSheets;Filtrar em todas as folhas
FilterOnAllPanels;Filtrar em todos os painéis
FilterOnlyOnThisSheet;Filtrar apenas nesta folha
FilterOnlyInThisPanel;Filtrar apenas neste painel
FormatParenthesesParameterColumns;Formato ({0} colunas)
NotImplementedFormat;Formato não implementado
FormulaValidatedCorrectly;Fórmula validada corretamente
GenericColonParameter;Genérico: {0}
TheConnectionToTheServerHasFailed;A conexão com o servidor falhou
ThereWasAnErrorWhileCommitting;Ocorreu um erro ao confirmar.
ThereWasAProblemWhileRegisteringCheckInternetOrContactCrono;Houve um problema ao registrar o produto. Verifique sua conexão com a Internet ou entre em contato com info@crono.net.
AnErrorOccurredDuringExecution;Ocorreu um erro durante a execução.
AnErrorOccurredDuringPublication;Ocorreu um erro durante a publicação.
AnErrorOccurredDuringDataValidation;Ocorreu um erro durante a validação de dados.
AnErrorOccurredInTheApplicationAndWillNowClose;Ocorreu um erro no aplicativo e será fechado.
AnUnexpectedErrorOccurredWhileExportingInformation;Ocorreu um erro inesperado ao exportar as informações ...
AnUnexpectedErrorOccurredDuringThisCommandExecution;Ocorreu um erro imprevisto durante a execução deste comando.
ThereHaveBeenNewCommitsSinceTheLastCheck;Houve novas confirmações desde a última verificação.
ThereAreFilesInStage;Existem arquivos no estágio
ThereIsAnErrorWithTheQuery;Há um erro na consulta
ThereIsAnIncompleteMerge;Há uma mesclagem incompleta.
DeviceIdentifierColonParameter;Identificador do equipamento: {0}
IndicatesWhetherVariableModificationsAreMadeDirectlyOnTheListOrInACopy;Indica se as modificações feitas nas variáveis são feitas diretamente na lista passada pelo parâmetro na propriedade da variável ou serão feitas em uma cópia
SessionInformation;Informações da sessão
EnterTheLicenseNumber;Digite o número da licença.
EnterAContactEmail;Digite um email de contato
TheFolderParameterBetweenQuotesNotContainGitRepository;A pasta '{0}' não contém um repositório git.
TheConnectionIsNotDefined;A conexão não está definida
TheDefinitionContainsSyntaxError;A definição contém algum erro de sintaxe
TheExpressionIsNotCorrect;A expressão não está correta.
TheExpressionIsNotAFilter;A expressão não é um filtro
TheExpressionMustBeAQuery;A instrução deve ser uma consulta
ThePropertyParameterIsReadOnly;A propriedade '{0}' é somente leitura.
ThePropertyParameterIsReadOnlyAndCannotBeSetByBinding;A propriedade '{0}' é somente leitura e não pode ser configurada por ligação.
ThePropertyParameterIsReadOnlyAndItsValueCannotBeSetExternally;A propriedade '{0}' é somente leitura e seu valor não pode ser definido externamente.
ThePropertyParameterBetweenQuotesNotExistsInModelParameterBetweenParentheses;A propriedade '{0}' não existe no modelo ({1})
TheListPropertyIsNotEnumerableType;A propriedade list não é do tipo enumerável
ListPropertyHasNotBeenFound;Propriedade da lista não encontrada
TheSQLStatementIsCorrect;A instrução SQL está correta.
LocateInCatalog;Localizar no catálogo
ChangesMadeToFileParameterBetweenQuotesWillBeLostAskContinueAnyway;As alterações feitas no arquivo '{0}' serão perdidas. Continuar assim mesmo?
FiltersWillAlwaysApplyToThePanelsWhereTheyAreIn;Os filtros sempre serão aplicados aos painéis em que estão.
ReportsFromCubesAreNotYetAvailable;Relatórios de cubos ainda não estão disponíveis
TheParameterParameterHasNotBeenDefined;O parâmetro {0} não foi definido.
RamMemoryColonParameterMb;Memória RAM: {0: N2} MB
ShowColumnSelector;Mostrar seletor de coluna
YouNeedLinceseNumberToUseCronoSolutionCanGetOneFromDemoCrono;Você precisa de um número de licença para usar a solução Crono. Você pode obter um gratuitamente em http://demo.crono.net
NoObjectInCatalogUsesTheParameterParameterBetweenQuotes;Nenhum objeto no catálogo usa o parâmetro '{0}'
ThePropertyParameterBetweenQuotesNotExistsInParameterBetweenQuotesParenthesesViewModelColonParameterBetweenQuotes;Não há propriedade '{0}' em '{1}' (modelo de exibição: '{2}')
DoNotFilterOnThisSheet;Não filtre nesta folha
CouldNotValidateLicenseNumberMayBeProblemsWithInternetConnectionOrServerMeyNotBeOperationalAtThisTimeTryItAgainLater;O número da licença não pôde ser validado. Pode haver problemas com sua conexão com a Internet ou o servidor pode não estar operacional no momento. Tente novamente mais tarde.
ItWasNotPossibleToUseThisCatalog;Não foi possível usar este catálogo
ItWasNotPossibleToValidateProductKey;Não foi possível validar a chave do produto.
ThereAreNoPendingChanges;Nenhuma alteração pendente
ThereIsNoEstablishedConnectionAtThisTime;Não há conexão estabelecida no momento.
ThePublicationAddresHasNotBeenConfigured;O endereço de publicação não foi definido.
AnOriginHasNotBeenConfiguredInTheRepository;Uma 'origem' não foi configurada no repositório.
TheColorThemeLibraryWasNotFoundColon;A biblioteca de temas de cores não foi encontrada:
NoCatalogFoundOnTheSpecifiedRoute;Nenhum catálogo encontrado na rota especificada
CouldNotOpenJobColonParameter;Não foi possível abrir o trabalho: {0}
CouldNotUpdateServerInformation;Não foi possível atualizar as informações do servidor
CouldNotAssignValue;Não foi possível atribuir o valor.
CouldNotChangeRegistryValue;Não foi possível alterar o valor do registro
CouldNotCloneRepository;O repositório não pôde ser clonado.
CouldNotGenerateFileParameterBetweenQuotes;Não foi possível gerar o arquivo '{0}'.
NoServersHaveBeenRegistered;Nenhum servidor foi registrado
NoSourceHasBeenSelected;Nenhuma fonte selecionada.
CouldNotGenerateSDLViewOfParameterBetweenQuotes;Não foi possível gerar a visualização SDL de '{0}'
NoFilesHaveBeenSelected;Nenhum arquivo selecionado.
ThisPanelCannotBeExportedInCardsMode;Você não pode exportar este painel no modo de apresentação 'Cartões'
CannotSaveIntoFolderParameterBetweenQuotes;Não é possível salvar na pasta '{0}'
CannotLocateMapFileParameterBetweenQuotes;Não é possível localizar o arquivo de mapa '{0}'
YouHaveNoRegisteredServerThatSupportsPublishingAskWantToAddOneNow;Você não possui um servidor registrado que ofereça suporte à publicação. Deseja adicionar um agora?
LicenseNumberColonParameter;Número da licença: {0}
ObjectForTheListOfValues;Objeto para a lista de valores
ObjectsUsingParameter;Objetos que usam {0}
GetsOrSetsACollectionUsedToGenerateTheDatagridContent;Obtém ou define uma coleção usada para gerar conteúdo da grade de dados
GetsACollectionOfDatagridColumns;Obter uma coleção de colunas do datagrid
HideParenthesesParameterColumns;Ocultar ({0} colunas)
AnErrorOcurredDuringSynchronization;Ocorreu um erro durante a sincronização.
PassAllToQuery;Passar tudo para consulta
PercentageWithRespectToAGroup;Porcentagem em relação a um grupo
ProblemGettingPropertyParameterBetweenQuotesOfAParameterBetweenQuotes;Problema ao obter a propriedade '{0}' de um '{1}'
UnregisteredProduct;Produto não registrado
PropertyParameterBetweenQuotesLinkedToIncorrectType;Propriedade '{0}' vinculada ao tipo incorreto
PropertyParameterBetweenQuotesNotFoundInObjectOfTypeParameterBetweenQuotes;A propriedade '{0}' não foi encontrada no objeto do tipo '{1}'.
FolderProperties;Propriedades da pasta
ColumnProperties;Propriedades da coluna
FilterProperties;Propriedades do filtro
CubeElementProperties;Propriedades do elemento do cubo
RepositoryProperties;Propriedades do repositório
ReferenceToNonExistentPropertyColon;Referência à propriedade inexistente:
HighlightCompatibleObjects;Destacar objetos compatíveis
TheExpressionMustBeSpecified;A expressão deve ser especificada.
ACommitMessageMustBeSpecified;Uma mensagem de confirmação deve ser especificada.
TheJobMustBeNamed;O trabalho deve ser nomeado.
AtLeastParameterParameterMustBeSelected;Pelo menos {0} {1} deve ser selecionado
TheDestinationDirectoryMustBeSelected;O diretório de destino deve ser selecionado.
ACalendarMustBeSelected;Um calendário deve ser selecionado.
ADirectoryMustBeSelected;Um diretório deve ser selecionado.
AFileToExecuteMustBeSelected;Você deve selecionar um arquivo para executar
ASingleQueryMustBeUsed;Uma única consulta deve ser usada
AnoObjectOfTypeTypeWasExpectedButIsTypeParameterBetweenQuotes;Um objeto do tipo 'Tipo' era esperado, mas é do tipo '{0}'
TheTableIsMaterializing;A tabela está se materializando
TheRepositoryHasBeenAccessedCorrectly;O repositório foi acessado corretamente.
RegistrationCompletedSuccessfully;Registro concluído com sucesso.
TheDatabaseWasCreatedAndConnectionHasBeenEstablishedCorrectly;O banco de dados foi criado e a conexão foi estabelecida corretamente.
TheDatabaseHasBeenDeletedSuccessfully;O banco de dados foi excluído com sucesso.
TheConnectionToCronoServerHasBeenEstablishedSuccessfully;A conexão com o servidor Crono foi estabelecida com sucesso.
ItHasBeenPublishedCorrectly;Foi publicado corretamente.
UpdatesHaveBeenLookedFor;Atualizações pesquisadas
ParameterDifferentCombinationsHaveBeenFound;{0: N0} diferentes combinações encontradas.
TheLookForUpdatesStarts;A atualização da pesquisa é iniciada
TheDatabaseParameterIsGoingToBeDeletedWithAllItsContentAskAreSureWantContinue;O banco de dados {0} e todo o seu conteúdo serão completamente excluídos. Tem certeza de que deseja continuar?
SelectParameterInThisQuery;Selecione {0} nesta consulta
SelectGreaterThanOrEqualTo;Selecione maior ou igual a
SelectLessThanOrEqualTo;Selecione menor ou igual a
SelectLocation;Selecionar local
SelectTheImageFile;Selecione o arquivo de imagem
SelectTheCatalogLanguage;Selecionar idioma do catálogo
SelectTheActionTypeYouWantCreate;Selecione o tipo de ação que você deseja criar.
SelectTheJob;Selecionar trabalho
SelectBusinessElementsTahtWillBeAllowedToChoosesWhenAskingTheParameter;Selecione os elementos de negócios que poderão escolher ao solicitar o parâmetro.
SelectTheValuesToFilterBy;Selecione os valores pelos quais filtrar.
SelectACatalogWithWhichToBuildYourReport;Selecione um catálogo com o qual criar seu relatório
SelectADirectory;Selecione um diretório
SelectAnItemFromCatalog;Selecione um item do catálogo.
SelectADimension;Selecione uma dimensão.
ServerForLocalCubes;Servidor para cubos locais
IfPasswordIsSpecifiedAUserMustAlsoBeSpecified;Se uma senha for especificada, um usuário também deverá ser especificado.
SynchronizationCompleted;Sincronização concluída.
OperatingSystemColonParameter;Sistema operacional: {0}
OnlyPaginaViewItemAndPaginaViewGroupItemAreAllowed;Apenas 'PaginaViewItem' e 'PaginaViewGroupItem' são suportados
SplashScreenClosedParenthesesAfterParameterMs;SplashScreen fechado (após {0} ms)
InstallationTypeColonParameter;Tipo de instalação: {0}
ValidatingProductKeyElipsis;Validando chave do produto ...
ValidateLicenseNumber;Validar número da licença
NotAllowedValueInParameter;Valor não suportado em {0}
ShowVerificationErrors;Ver erros de verificação
ShowVerificationStatement;Ver declaração de verificação
InstallationVerification;Verificação da instalação
AParameterWithThisKeyAlreadyExists;Um parâmetro com essa chave já existe
WouldYouLikeToDefineThemNow;Deseja defini-los agora?
WouldYouLikeToDefineItNow;Deseja defini-lo agora?
TheBusinessItemLowerCase;o elemento de negócios
Execute;Executar
ParenthesesParameterMs;({0} ms)
AskWantToCheckThisJoinLastVerificationDataColonParameterLastVerificationTimeColonParameterSeconds;Deseja verificar esse relacionamento?|Data da última verificação: {0}|Tempo da última verificação: {1} segundos
TheParentTypeIsParameterWithCronoSqlColonParameter;O pai é do tipo {0} com CronoSql:|{1}
FailedToFindPropertyParameterBetweenQuotesInObjectTypeParameterBetweenQuotesParameter;Falha ao localizar a propriedade '{0}' no objeto do tipo '{1}'|{2}
FailedToSetPropertyParameterBetweenQuotesParameter;Falha ao definir a propriedade '{0}'|{1}
TheFilePublicationDateOnServerNotMatchCurrentOneAskPostAnywayLastPublicationInformationColonParameter;A data de publicação do arquivo no servidor não corresponde à atual.|Postar mesmo assim?||Informações da última publicação:|{0}
TheConnectionParameterBetweenQuotesToAccessTheDatabaseDoesNotExistsAskWantCreateItNow;Não há conexão "" {0} "" para acessar o banco de dados.|Deseja criá-lo agora?
Format;Formatar
Exclude;Excluir
_Select;Selecione
Accept;Aceitar
Enable;Ativar
ManageFilters;Gerenciar filtros
Disable;Desativar
Documentation;Documentação
EditQuery;Editar consulta
FilterOn;Filtrar ativado
General;Geral
NewAction;Nova ação
NewFilter;Novo filtro
Hide;Esconder
OrganizationColonParameter;Organização: {0}
PassToQuery;Ir para a consulta
PassToFormula;Vá para a fórmula
Registration;Registo
Log;Registo
PercentageSalesMarginAVsCostB;% De margem de vendas A vs custo B
PercentageVariationOfAVsB;Variação% de A vs B
AMinusBDividedBPercentageBetweenParentheses;(a-b) / b (Porcentagem)
ParameterAccumulated;{0} acumulado
ADivideBPercentageBetweenParentheses;a / b (porcentagem)
ADivideBRatioBetweenParentheses;a / b (proporção)
AboutCrono;Sobre a Crono
Acknowledgment;Agradecimentos
AddColumn;Adicionar coluna
Authorization;Autorização
Basics;Basic
Calendar;Calendário
GoogleCalendar;Google Agenda
FolderOnServer;Pasta do servidor
LocalFolder;Pasta local
Scientific;Cientista
ProductKey;Chave do produto
ForeignKey;Chave estrangeira
Cloning;Clonagem
Clone;Clonar
CloneRepository;Clonar repositório
Commit;Confirmar
CheckingStatus;Verificando status
CheckingHead;Verificando HEAD
CheckingSource;Verificando a origem
CheckingStage;Estágio de verificação
NetworkConfiguration;Configurações de rede
ConfigureConnection;Configurar conexão
ConfigureOrderBy;Configurar ORDER BY
ConfigureTop;Configurar TOP
ContactColonParameter;Contato: {0}
CopyName;Copiar nome
Correct;Correto
SplashCreated;Criado Splash
Credentials;Credenciais
Available;Disponível
Duration;Duração
Edit;Editar
EditExpression;Editar expressão
SqlQueryEditor;Editor de consultas SQL
CronoSqlEditor;Crono SQL Editor
QueryEditor;Editor de consultas
PermissionsEvaluatedSequentiallyInCaseContradictoryAssignmentsLastPrevailsIfNoPermissionApplicableDefaultApplicationPermissionsAreMaintained;As permissões são avaliadas sequencialmente. No caso de atribuições contraditórias, prevalece o último da lista.||Se nenhuma permissão específica for aplicável, as permissões padrão do aplicativo serão mantidas.
DeleteColumn;Excluir coluna
BindingErrorsColon;Erros de ligação:
Statistics;Estatisticas
Eula;EULA
Explorer;Explorer
Export;Exportar
DateAndTime;Data e hora
ColumnFilter;Filtro de coluna
AdvancedFilters;Filtros avançados
Print;Impressão
Start;Página inicial
EnterYourCity;Digite sua cidade
EnterYourName;Digite seu nome
TheRequestToParameterBetweenParenthesesWasResolvedWithTheCodeColonParameterParameter;A solicitação para '{0}' foi resolvida com o código:||{1} {2}
ExpiredLicense;Licença expirada
LicenceDeleted;Licença removida.
ClearFilters;Filtros limpos
ClearValue;Limpar valor
TheFollowingFilesAreLockedCloseProgramsMayBeUsingThemAndTrySynchronizeAgain;Os seguintes arquivos estão bloqueados, feche os programas que podem estar usando esses arquivos e tente sincronizar novamente.||{0}
ErrorMessage;Mensagem de erro
Currency;Moeda
ShowingMainWindow;Mostrando MainWindow
ShowWarnings;Mostrar avisos
ShowSummations;Mostrar somatórios
NotAvailable;Não disponível
CouldNotConnectToTheCloudParameter;Não foi possível conectar-se à nuvem.||{0}
CouldNotGetRepositoryInformationCheckRepositoryAddressIsWellWrittenAndCredentialsAreCorrect;Não foi possível obter informações do repositório.||Verifique se o endereço do repositório está bem escrito e se as credenciais estão corretas.
NewCube;Novo cubo
Number;Número
Objects;Objetos
GeneralOptions;Opções gerais
Sort;Encomendar
Custom;Custom
Percentage;Percentagem
PercentageParameter;Porcentagem {0}
PercentageOfTheTotal;% Do total
ProductActivated;Produto ativado
CubeProperties;Propriedades do cubo
RankingPercentage;Ranking%
UserSelection;Seleção de usuário
FormatSelection;Seleção de formato
SelectCatalog;Selecionar catálogo
SelectValues;Selecionar valores
SelectTheType;Selecione o tipo
SelectYourCountry;Selecione seu país
SelectAnObject;Selecione um objeto
Server;Servidor
DoUpperCase;Sim
DoNotUpperCase;NÃO
Synchronize;Sincronizar
SynchronizeProject;Sincronizar projeto
SyntaxCorrect;Sintaxe correta
TechnicalSupport;Suporte técnico
SqlServerColonParameterParameterBetweenParentheses;SQL Server: {0} ({1})
Startup;Inicialização
CumulativeSum;Soma acumulada
CumulativeSumPercentageBetweenParentheses;Soma acumulada (%)
ReplaceWith;Substitua por
TestText;Texto de teste
TextWithoutFormat;Texto simples
NullValueLowerCase;valor nulo
TableValues;Valores da tabela
ShowGroups;Ver grupos
CheckJoin;Verificar relacionamento
CheckUniqueness;Verificar exclusividade
VersionColonParameter;Versão: {0}
ParenthesesRestOfLatinAmerica;(Resto da América Latina)
ExclamationThanksForUsingCrono;Obrigado por usar o Crono!
TaskManager;Administrador de tarefas
ManageRepositories;Gerenciar repositórios
ManageServers;Gerenciar servidores
AddExistingGitFolder;Adicionar pasta git existente
DragToTheRightPanelTheColumnsByWhichWantSortTheQuery;Arraste as colunas pelas quais deseja classificar a consulta para o painel direito.
DragHereToCreateAFilter;Arraste aqui para criar um filtro.
WindowsAuthentication;Autenticação do Windows
WindowsAuthenticationColon;Autenticação do Windows:
LookForUpdates;Verifique se há atualizações
CustomNumericFormatStrings;seqüências de caracteres de formato de número personalizadas
ChangeLicenseNumber;Alterar número da licença
ChangesInTheLocalFolder;Alterações na pasta local
BackupsFolder;Pasta de backup
CronoConfigurationFolder;Pasta de configuração Crono
CloseWindowWhenExecutionFinished;Feche esta janela no final da execução
GroupColumnsColon;Colunas de cluster:
OderColumnsColon;Classificar colunas:
AvailableColumnsColon;Colunas disponíveis:
CheckAccessForColon;Verifique o acesso para:
ConfigureProxyServer;Configurar servidor proxy
KeepCloudChanges;Mantenha as alterações na nuvem
KeepLocalChanges;Manter alterações locais
KeepAllCloudChanges;Mantenha todas as alterações na nuvem
KeepAllLocalChanges;Manter todas as alterações locais
ContainsUniqueValues;Contém valores únicos
CronoUsesOpenSourceSoftwareAndThirdPartyApplications;Crono usa software de código aberto e outros aplicativos de terceiros.
DownloadUpdatesAutomatically;Baixar atualizações automaticamente
DownloadDirectoryColon;Diretório de Download:
DownloadDirectory;Diretório de downloads
WorkDirectoryColon;Diretório de trabalho:
RunGarbageCollector;Executar coletor de lixo
ParameterizableBusinessItem;Elemento de negócios parametrizável
DeleteDatabaseParenthesesDropDatabase;Excluir banco de dados (DROP DATABASE)
ConfigurationFolderContainsComputerConnectionsAndOtherInformation;As conexões do dispositivo e outros parâmetros são salvos na pasta de configuração.
EnterYourLicenseNumber;Digite o seu número de licença
ThisInformationIsShared;Esta informação é compartilhada.
ThisStatisticsWindowCanHelpYouDetectCandidateFieldsToFormPrimaryKeyOrUniqueRestriction;Essa janela de estatísticas pode ajudá-lo a detectar os campos candidatos para formar chave primária ou restrição UNIQUE.
WeStudyAndAppreciateAllRequestsWeRecive;Estudamos e valorizamos todos os pedidos que recebemos.
FormulaFromExistingColumnsInQuery;Fórmula baseada em colunas existentes na consulta
SaveConfigurationInTheProfileOfEachUser;Salve as configurações no perfil de cada usuário
SaveConfigurationInAFolderOnComputer;Salve a configuração em uma pasta no dispositivo
LicenseInformation;Informações sobre licença
SystemInformation;Informações do sistema
StartCronoExcelWhenOpeningMicrosoftExcel;Inicie o Crono Excel ao abrir o Microsoft Excel
EnterTheVariableParametersOfThisDocument;Digite os parâmetros variáveis deste documento.
TheCronoExcelRegistryKeyExists;A chave de registro do Crono Excel existe
TheInformationIsSavedIn;As informações são salvas em
LimitNumberOfRows;Limitar o número de linhas
MoreInformationAboutTheChanges;Mais informações sobre as alterações
ShowAdvancedGITFunctionalities;Mostrar funcionalidades avançadas do GIT
ShowTextInSeparateWindowWhenDoubleClicking;Mostrar texto em janela separada ao clicar duas vezes
ShowAllRows;Mostrar todas as linhas
TheCronoExcelKeyDoesNotExistsInWindowsRegistry;Não há chave Crono Excel no registro do Windows
NoRulesFoundForThisUser;Nenhuma regra encontrada para este usuário
NewCalculatedColumn;Nova coluna calculada
NewComputerConnection;Conexão de novos equipamentos
NuevoCombinedAndOrFilter;Novo filtro Y / O combinado
AnotherSqlServer;Outro SQL Server
ToInstallTheEvaluationVersionYouNeedALicenseNumberWithThisFormatColonXXX;Para instalar a versão de avaliação, você precisa de um número de licença com este formato: XXXX-XXXX-XXXX.
ForMoreInformationSeetheHelpAboutThe;Para mais informações, consulte a ajuda em
ForHelpingUsImproveCrono;por nos ajudar a melhorar o Crono.
BetweenAllCronoApplicationsOfThisUser;para todos os aplicativos Crono deste usuário.
BetweenAllCronoApplicationsAndUsersOfThisMachine;para todos os aplicativos Crono e todos os usuários desta máquina
PercentageOfTheTotalCountOfRecords;Porcentagem do número total de registros
TaskScheduler;Agendador de tarefas
YouCanContactUsFromTheSupportWebsiteOrByEmail;Você pode entrar em contato conosco no site de suporte ou por e-mail.
CountOfDifferentValues;Contagem de valores diferentes
PathOrUrlOfTheCatalogColon;URL da rota ou do catálogo:
TheSampleDatabaseIsBeingDownloaded;O banco de dados de amostra está sendo baixado
DefaultServer;Servidor padrão
RegisteredServers;Servidores registrados
RegisteredServersColon;Servidores registrados:
IfNotHaveValidLicenseNumberCanRequestForFreeAtFollowingAddressColon;Se você não tiver um número de licença válido, poderá solicitá-lo gratuitamente no seguinte endereço:
UploadTheChangesToTheCloudAutomaticallyAfterSynchronize;Carregar alterações na nuvem automaticamente após a sincronização
ColumnFilterType;Tipo de filtro de coluna
RemoteBackupsLocation;Backups de localização remota
UseThisScreenToLimitNumberOfRecordsReturnedOrSetRankingBasedOnOneOfTheColumns;Use esta tela para limitar o número de registros retornados ou para estabelecer uma classificação com base em uma das colunas.
SelectedValues;Valores Selecionados
SeeObjectThatUseThisParameter;Veja objetos que usam esse parâmetro
VerifyConnectionToLocalDB;Verifique a conexão com o LocalDB
VerifyCredentials;Verificar credenciais
VerifyInstallation;Verificar instalação
VisitCronoWebsite;Visite o site da Crono
IAlreadyHaveALicenseNumber;Eu já tenho um número de licença
IAlreadyHaveALicense;Eu já tenho uma licença
HomeUpperCase;INICIAR
Definition;Definição de
Verify;Verifique
Diagram;Diagrama
QueyUpperCase;CONSULTA
DescriptionColon;Descrição:
NameColon;Nome:
UserColon;Nome de usuário:
PasswordColon;Senha:
FontColon;Fonte:
UrlColon;URL:
ActionsColon;Ações:
DatabaseColon;Base de dados:
Cancel;Cancelar
ConnectionColon;Conexão:
DiscardChanges;Descartar alterações
Disabled;Desativado
ExecutingElipsis;Correndo ...
Environment;Meio ambiente
ListOfValues;Lista de valores
ListOfValuesColon;Lista de valores:
EditConnection;Modificar conexão
FullNameColon;Nome completo:
ServerColon;Servidor:
DataTypeColon;Tipo de dados:
ParenthesesWithoutProxy;(sem proxy)
Activated;Ativado
UpdateList;Atualizar lista
AdvancedPluralFemale;Avançado
BackgroundColorColon;Cor de fundo:
QueriesColon;Consultas:
PasswordLocalizedColon;Senha:
EmailColon;Correio eletrônico:
Design;Desenho
CompanyColon;Companhia:
ExpressionColon;Expressão:
FormulaColon;Fórmula:
Save;Salvar
ReadAndWrite;Leitura e escritura
Message;Mensagem
EditServer;Modificar servidor
SourceColon;Origem:
Path;Rota
SelectSeveral;Selecione vários
TextColon;Texto:
Type;Tipo
FormatType;Formato do tipo
ValueColon;Valor:
CheckConnection;Verifique a conexão
ParenthesesRestOfEurope;(Resto da Europa)
ParenthesesRestOfTheWorld;(Resto do mundo)
AnonymousAccess;Acesso anônimo
About;Sobre
AttachedColon;Anexo:
Germany;Alemanha
AmazonS3;Amazon S3
