_New;Nouveau
ParameterDeletedBetweenParentheses;{0} (supprimé)
NameVersionCultureLocationBarSeparated;| Nom | Version | Culture | Localisation |
AskWantDeleteFilterParameterBetweenQuotes;Voulez-vous supprimer le filtre '{0}'?
AskWantDeleteCubeParameterBetweenQuotes;Voulez-vous supprimer le cube '{0}'?
AskWantDeleteTheParameterParameter;Voulez-vous supprimer le paramètre {0}?
AskWantDeleteConnectionParameterBetweenQuotes;Voulez-vous supprimer la connexion '{0}'?
AskWantDeleteTheLicenseCurrentlyUsing;Voulez-vous supprimer la licence que vous utilisez actuellement?
AskWantDeleteAllSelectedCubeElements;Voulez-vous supprimer tous les éléments sélectionnés du cube?
AskDeleteParameterBetweenQuotes;Supprimer '{0}'?
AskDeleteTheJobParameterBetweenQuotes;Supprimer le travail '{0}'?
OpenAllSubfolder;Ouvrez tous les dossiers
UpdateAvailableParameterBetweenParentheses;Mise à jour disponible ({0})
UpdateListOfValues;Mettre à jour la liste de valeurs
JobManager;Job Manager
AddCalculatedColumn;Ajouter une colonne calculée
AddCalculatedColumnElipsis;Ajouter une colonne calculée ...
AddServerCronoExamples;Ajouter des «exemples Crono» de serveur
TheDocumentMustBeSavedLocallyBeforePublishing;Avant de publier, le document doit être enregistré localement.
AllConflictsMustBeResolvedBeforeSynchronizing;Avant de synchroniser tous les conflits doivent être résolus
LoadedMainWindowParenthesesAfterParameterMs;MainWindow chargée (après {0} ms)
LoadedSplashParenthesesAfterParameterMs;Splash chargé (après {0} ms)
ConfigurationFolder;Dossier de configuration
CloseOtherFolders;Fermez les autres dossiers
CloseAllFolders;Fermez tous les dossiers
ValidProductKey;Clé de produit valide.
CheckingFilesFromTheCloud;Vérification des fichiers depuis le cloud
CheckingGitRepository;Vérification du référentiel git ...
ComputerConnectionColonParameter;Connexion à l'appareil: {0}
DefaultConnection;Connexion par défaut
ConfigureParameters;Configurer les paramètres
CopySuggestedCreateTable;Copier CREATE TABLE suggéré
CopyFieldList;Copier la liste des champs
CopyCommaSeparatedFieldList;Copier la liste des champs séparés par des virgules
EmailColonParameter;Courriel: {0}
WhenGroupColumnsExistsNeedTospecifyOrderColumns;Lorsque des colonnes de regroupement existent, il est également nécessaire de spécifier des colonnes de tri.
YouMustDefinieVariableToUseThem;Vous devez définir les variables pour pouvoir les utiliser.
YouMustSpecifyDataBaseNameForLocalCubes;Vous devez spécifier le nom de la base de données pour les cubes locaux.
YouMustSpecifyConnectionName;Vous devez spécifier le nom de la connexion.
YouMustSpecifyFileName;Vous devez spécifier le nom du fichier
YouMustSpecifyParameterName;Vous devez spécifier le nom du paramètre
YouMustSpecifyANameForThisColumn;Vous devez spécifier un nom pour cette colonne.
YouMustSpecifyACorrectKeyForParameter;Vous devez spécifier une clé correcte pour le paramètre
YouMustSpecifyUserOrGroup;Vous devez spécifier un utilisateur ou un groupe
YouMustSelectColumnsToCheck;Vous devez sélectionner les colonnes que vous souhaitez vérifier.
YouMustSelectaBusinessItem;Vous devez sélectionner un élément commercial
YouMustSelectAnItem;Vous devez sélectionner un élément.
YouMustSelectAnAuthorizationType;Vous devez sélectionner un type d'autorisation
YouMustSelectAUser;Vous devez sélectionner un utilisateur.
YouMustSelectAFolder;Vous devez sélectionner un dossier
YouMustSelectACatalogDimension;Vous devez sélectionner une dimension de catalogue
YouMustSpecifyTheItemName;Vous devez spécifier le nom de l'élément.
DownloadingDatabase;Téléchargement de la base de données
WorkingDirectory;Répertoire de travail
ExpressionEditor;Éditeur d'expression
TheFileParameterBetweenQuotesIsOpenCloseItBeforeOverwriteIt;Le fichier '{0}' est ouvert, fermez-le avant de l'écraser.
TheFileParameterBetweenQuotesContainsErrorsThatPreventSavingAskCloseWithoutSaving;Le fichier '{0}' contient des erreurs qui empêchent l'enregistrement, voulez-vous fermer sans enregistrer?
TheFileContainsErrorsAndNotPossibleToSave;Le fichier contient des erreurs et il n'a pas été possible de l'enregistrer.
TheFileDoesNotHaveTheExpectedVersion;Le fichier n'a pas la version attendue
TheSelectedDirectoryIsNotAGitDirectory;Le répertoire sélectionné n'est pas un répertoire git.
TheSelectedDirectoryIsNotEmpty;Le répertoire sélectionné n'est pas vide.
TheSelectedDirectoryDoesNotExists;Le répertoire sélectionné n'existe pas.
TheFileMustBeInsideParameterBetweenQuotes;Le fichier doit se trouver entre '{0}'
TheFileIsNotAsExpected;Le hachage du fichier n'est pas comme prévu
TheColumnNameCannotBeginWithArroba;Le nom de la colonne ne peut pas commencer par @.
TheObjectTypeParameterBetweenQuotesNotValidSource;L'objet de type '{0}' n'est pas une source valide.
TheParameterParameterIsCatalogParameterAndCannotDelete;Le paramètre {0} est un paramètre de catalogue et ne peut pas être supprimé.
TheRepositoryIsNotOnHead;Le référentiel n'est pas dans la HEAD.
TheTextHasBeenCopiedToClipboard;Le texte a été copié dans le presse-papiers.
TheTypeParameterBetweenParenthesesIsNotEnumeration;Le type '{0}' n'est pas une énumération
TheUsesDoesNotBelongToAnyGroup;L'utilisateur n'appartient à aucun groupe.
TheDefaultValueIsBadlyDefined;La valeur par défaut n'est pas définie correctement.
SelectedValueInParameterCausesRecursionSelectAnotherValue;La valeur sélectionnée dans {0} provoque une récursivité, veuillez sélectionner une autre valeur.
SelectedValuesUsesThisParameterSelectAnotherValueToAvoidRecursion;La valeur sélectionnée utilise ce paramètre, veuillez sélectionner une autre valeur pour éviter la récursivité.
DeleteParenthesesParameterColumns;Supprimer ({0} colonnes)
DeleteSelected;Supprimer la sélection
DeleteAllColumns;Supprimer toutes les colonnes
ErrorDisplayingRequestResultParameterBetweenQuotes;Erreur lors de l'affichage du résultat de la demande '{0}'.
ErrorGettingParameter;Erreur lors de l'obtention de {0}
IntentionallyCausedError;Erreur provoquée intentionnellement
ThisActionDoesNotContainAnyPropertyThatCouldBeModified;Cette action ne contient aucune propriété pouvant être modifiée.
ThisJoinIsMarkedToNotCheck;Cette relation est marquée afin qu'elle ne soit pas vérifiée.
ThisJoinHasReferentialIntegrityInDatabase;Cette relation a une intégrité référentielle dans la base de données.
SetParameter;Définir {0}
StatisticsOfTheResult;Statistiques de résultat
TheseColumnsTogether;Ces colonnes, ensemble,
ThisFilterAppliesAllSheets;Ce filtre s'applique à toutes les feuilles
ThisFilterAppliesOnlyThisSheetColonParameter;Ce filtre s'applique uniquement à cette feuille: {0}
ThisFilterDoesNotApplyAnySheet;Ce filtre ne s'applique à aucune feuille
ExcludeParameterInThisQuery;Exclure {0} dans cette requête
ThereIsASyntaxError;Il y a une erreur de syntaxe.
ServerExplorer;Explorateur de serveurs
FilterBusinessItems;Filtrer les éléments commerciaux
FilterOnTheFollowingPanels;Filtrer sur les panneaux suivants
FilterOnAllSheets;Filtrer sur toutes les feuilles
FilterOnAllPanels;Filtre sur tous les panneaux
FilterOnlyOnThisSheet;Filtrer uniquement sur cette feuille
FilterOnlyInThisPanel;Filtrer uniquement dans ce panneau
FormatParenthesesParameterColumns;Format ({0} colonnes)
NotImplementedFormat;Format non implémenté
FormulaValidatedCorrectly;Formule validée correctement
GenericColonParameter;Générique: {0}
TheConnectionToTheServerHasFailed;La connexion au serveur a échoué
ThereWasAnErrorWhileCommitting;Une erreur s'est produite lors de la validation.
ThereWasAProblemWhileRegisteringCheckInternetOrContactCrono;Un problème est survenu lors de l'enregistrement du produit. Vérifiez votre connexion Internet ou contactez info@crono.net.
AnErrorOccurredDuringExecution;Une erreur s'est produite lors de l'exécution.
AnErrorOccurredDuringPublication;Une erreur s'est produite lors de la publication.
AnErrorOccurredDuringDataValidation;Une erreur s'est produite lors de la validation des données.
AnErrorOccurredInTheApplicationAndWillNowClose;Une erreur d'application s'est produite et va se fermer.
AnUnexpectedErrorOccurredWhileExportingInformation;Une erreur inattendue s'est produite lors de l'exportation des informations ...
AnUnexpectedErrorOccurredDuringThisCommandExecution;Une erreur imprévue s'est produite lors de l'exécution de cette commande.
ThereHaveBeenNewCommitsSinceTheLastCheck;De nouveaux commits ont été effectués depuis le dernier contrôle.
ThereAreFilesInStage;Il y a des fichiers en cours
ThereIsAnErrorWithTheQuery;Il y a une erreur avec la requête
ThereIsAnIncompleteMerge;Il y a une fusion incomplète.
DeviceIdentifierColonParameter;Identificateur d'équipement: {0}
IndicatesWhetherVariableModificationsAreMadeDirectlyOnTheListOrInACopy;Indique si les modifications apportées aux variables sont effectuées directement sur la liste passée par paramètre dans la propriété variable ou seront effectuées dans une copie
SessionInformation;Informations sur la session
EnterTheLicenseNumber;Saisissez le numéro de licence.
EnterAContactEmail;Entrez un e-mail de contact
TheFolderParameterBetweenQuotesNotContainGitRepository;Le dossier '{0}' ne contient pas de référentiel git.
TheConnectionIsNotDefined;La connexion n'est pas définie
TheDefinitionContainsSyntaxError;La définition contient une erreur de syntaxe
TheExpressionIsNotCorrect;L'expression n'est pas correcte.
TheExpressionIsNotAFilter;L'expression n'est pas un filtre
TheExpressionMustBeAQuery;L'instruction doit être une requête
ThePropertyParameterIsReadOnly;La propriété '{0}' est en lecture seule.
ThePropertyParameterIsReadOnlyAndCannotBeSetByBinding;La propriété '{0}' est en lecture seule et ne peut pas être définie par liaison.
ThePropertyParameterIsReadOnlyAndItsValueCannotBeSetExternally;La propriété '{0}' est en lecture seule et sa valeur ne peut pas être définie en externe.
ThePropertyParameterBetweenQuotesNotExistsInModelParameterBetweenParentheses;La propriété '{0}' n'existe pas dans le modèle ({1})
TheListPropertyIsNotEnumerableType;La propriété list n'est pas du type énumérable
ListPropertyHasNotBeenFound;Propriété de liste introuvable
TheSQLStatementIsCorrect;L'instruction SQL est correcte.
LocateInCatalog;Localiser dans le catalogue
ChangesMadeToFileParameterBetweenQuotesWillBeLostAskContinueAnyway;Les modifications apportées au fichier '{0}' seront perdues. Continuez quand même?
FiltersWillAlwaysApplyToThePanelsWhereTheyAreIn;Les filtres seront toujours appliqués aux panneaux dans lesquels ils se trouvent.
ReportsFromCubesAreNotYetAvailable;Les rapports des cubes ne sont pas encore disponibles
TheParameterParameterHasNotBeenDefined;Le paramètre {0} n'a pas été défini.
RamMemoryColonParameterMb;Mémoire RAM: {0: N2} Mo
ShowColumnSelector;Afficher le sélecteur de colonne
YouNeedLinceseNumberToUseCronoSolutionCanGetOneFromDemoCrono;Vous avez besoin d'un numéro de licence pour utiliser la solution Crono. Vous pouvez en obtenir un gratuitement sur http://demo.crono.net
NoObjectInCatalogUsesTheParameterParameterBetweenQuotes;Aucun objet du catalogue n'utilise le paramètre '{0}'
ThePropertyParameterBetweenQuotesNotExistsInParameterBetweenQuotesParenthesesViewModelColonParameterBetweenQuotes;Il n'y a pas de propriété '{0}' dans '{1}' (viewmodel: '{2}')
DoNotFilterOnThisSheet;Ne filtrez pas sur cette feuille
CouldNotValidateLicenseNumberMayBeProblemsWithInternetConnectionOrServerMeyNotBeOperationalAtThisTimeTryItAgainLater;Le numéro de licence n'a pas pu être validé. Il peut y avoir des problèmes avec votre connexion Internet ou le serveur peut ne pas être opérationnel pour le moment. Veuillez réessayer plus tard.
ItWasNotPossibleToUseThisCatalog;Il n'a pas été possible d'utiliser ce catalogue
ItWasNotPossibleToValidateProductKey;Il n'a pas été possible de valider la clé de produit.
ThereAreNoPendingChanges;Aucune modification en attente
ThereIsNoEstablishedConnectionAtThisTime;Aucune connexion n'est établie pour le moment.
ThePublicationAddresHasNotBeenConfigured;L'adresse de publication n'a pas été définie.
AnOriginHasNotBeenConfiguredInTheRepository;Une «origine» n'a pas été configurée dans le référentiel.
TheColorThemeLibraryWasNotFoundColon;La bibliothèque de thèmes de couleurs est introuvable:
NoCatalogFoundOnTheSpecifiedRoute;Aucun catalogue trouvé sur l'itinéraire spécifié
CouldNotOpenJobColonParameter;Impossible d'ouvrir le travail: {0}
CouldNotUpdateServerInformation;Impossible de mettre à jour les informations du serveur
CouldNotAssignValue;La valeur n'a pas pu être affectée.
CouldNotChangeRegistryValue;Impossible de modifier la valeur de registre
CouldNotCloneRepository;Le référentiel n'a pas pu être cloné.
CouldNotGenerateFileParameterBetweenQuotes;Impossible de générer le fichier '{0}'.
NoServersHaveBeenRegistered;Aucun serveur n'a été enregistré
NoSourceHasBeenSelected;Aucune source sélectionnée.
CouldNotGenerateSDLViewOfParameterBetweenQuotes;Impossible de générer la vue SDL de '{0}'
NoFilesHaveBeenSelected;Aucun fichier sélectionné.
ThisPanelCannotBeExportedInCardsMode;Vous ne pouvez pas exporter ce panneau en mode de présentation «Cartes»
CannotSaveIntoFolderParameterBetweenQuotes;Impossible d'enregistrer dans le dossier '{0}'
CannotLocateMapFileParameterBetweenQuotes;Impossible de localiser le fichier de carte '{0}'
YouHaveNoRegisteredServerThatSupportsPublishingAskWantToAddOneNow;Vous n'avez pas de serveur enregistré prenant en charge la publication, voulez-vous en ajouter un maintenant?
LicenseNumberColonParameter;Numéro de licence: {0}
ObjectForTheListOfValues;Objet pour la liste de valeurs
ObjectsUsingParameter;Objets utilisant {0}
GetsOrSetsACollectionUsedToGenerateTheDatagridContent;Obtient ou définit une collection qui est utilisée pour générer du contenu de grille de données
GetsACollectionOfDatagridColumns;Obtenez une collection de colonnes de la grille de données
HideParenthesesParameterColumns;Masquer ({0} colonnes)
AnErrorOcurredDuringSynchronization;Une erreur s'est produite lors de la synchronisation.
PassAllToQuery;Passez tout en consultation
PercentageWithRespectToAGroup;Pourcentage par rapport à un groupe
ProblemGettingPropertyParameterBetweenQuotesOfAParameterBetweenQuotes;Problème lors de l'obtention de la propriété '{0}' d'un '{1}'
UnregisteredProduct;Produit non enregistré
PropertyParameterBetweenQuotesLinkedToIncorrectType;Propriété '{0}' liée à un type incorrect
PropertyParameterBetweenQuotesNotFoundInObjectOfTypeParameterBetweenQuotes;La propriété '{0}' est introuvable dans l'objet de type '{1}'.
FolderProperties;Propriétés du dossier
ColumnProperties;Propriétés des colonnes
FilterProperties;Propriétés du filtre
CubeElementProperties;Propriétés des éléments de cube
RepositoryProperties;Propriétés du référentiel
ReferenceToNonExistentPropertyColon;Référence à un bien inexistant:
HighlightCompatibleObjects;Mettez en surbrillance les objets compatibles
TheExpressionMustBeSpecified;L'expression doit être spécifiée.
ACommitMessageMustBeSpecified;Un message de validation doit être spécifié.
TheJobMustBeNamed;Le travail doit être nommé.
AtLeastParameterParameterMustBeSelected;Au moins {0} {1} doit être sélectionné
TheDestinationDirectoryMustBeSelected;Le répertoire de destination doit être sélectionné.
ACalendarMustBeSelected;Un calendrier doit être sélectionné.
ADirectoryMustBeSelected;Un répertoire doit être sélectionné.
AFileToExecuteMustBeSelected;Vous devez sélectionner un fichier à exécuter
ASingleQueryMustBeUsed;Une seule requête doit être utilisée
AnoObjectOfTypeTypeWasExpectedButIsTypeParameterBetweenQuotes;Un objet de type 'Type' était attendu mais est de type '{0}'
TheTableIsMaterializing;La table se matérialise
TheRepositoryHasBeenAccessedCorrectly;Le référentiel a été correctement accédé.
RegistrationCompletedSuccessfully;L'inscription s'est terminée avec succès.
TheDatabaseWasCreatedAndConnectionHasBeenEstablishedCorrectly;La base de données a été créée et la connexion a été établie correctement.
TheDatabaseHasBeenDeletedSuccessfully;La base de données a été supprimée avec succès.
TheConnectionToCronoServerHasBeenEstablishedSuccessfully;La connexion au serveur Crono a été établie avec succès.
ItHasBeenPublishedCorrectly;Il a été publié correctement.
UpdatesHaveBeenLookedFor;Mises à jour recherchées
ParameterDifferentCombinationsHaveBeenFound;{0: N0} différentes combinaisons trouvées.
TheLookForUpdatesStarts;La recherche de mise à jour commence
TheDatabaseParameterIsGoingToBeDeletedWithAllItsContentAskAreSureWantContinue;La base de données {0} et tout son contenu seront complètement supprimés. Voulez-vous vraiment continuer?
SelectParameterInThisQuery;Sélectionnez {0} dans cette requête
SelectGreaterThanOrEqualTo;Sélectionnez supérieur ou égal à
SelectLessThanOrEqualTo;Sélectionnez inférieur ou égal à
SelectLocation;Sélectionnez un lieu
SelectTheImageFile;Sélectionnez le fichier image
SelectTheCatalogLanguage;Sélectionnez la langue du catalogue
SelectTheActionTypeYouWantCreate;Sélectionnez le type d'action que vous souhaitez créer.
SelectTheJob;Sélectionnez le travail
SelectBusinessElementsTahtWillBeAllowedToChoosesWhenAskingTheParameter;Sélectionnez les éléments métier qui seront autorisés à choisir lors de la demande du paramètre.
SelectTheValuesToFilterBy;Sélectionnez les valeurs à filtrer.
SelectACatalogWithWhichToBuildYourReport;Sélectionnez un catalogue avec lequel créer votre rapport
SelectADirectory;Sélectionnez un annuaire
SelectAnItemFromCatalog;Sélectionnez un article dans le catalogue.
SelectADimension;Sélectionnez une dimension.
ServerForLocalCubes;Serveur pour cubes locaux
IfPasswordIsSpecifiedAUserMustAlsoBeSpecified;Si un mot de passe est spécifié, un utilisateur doit également être spécifié.
SynchronizationCompleted;La synchronisation est terminée.
OperatingSystemColonParameter;Système d'exploitation: {0}
OnlyPaginaViewItemAndPaginaViewGroupItemAreAllowed;Seuls «PaginaViewItem» et «PaginaViewGroupItem» sont pris en charge
SplashScreenClosedParenthesesAfterParameterMs;SplashScreen fermé (après {0} ms)
InstallationTypeColonParameter;Type d'installation: {0}
ValidatingProductKeyElipsis;Validation de la clé de produit ...
ValidateLicenseNumber;Valider le numéro de licence
NotAllowedValueInParameter;Valeur non prise en charge dans {0}
ShowVerificationErrors;Voir les erreurs de vérification
ShowVerificationStatement;Voir la déclaration de vérification
InstallationVerification;Vérification de l'installation
AParameterWithThisKeyAlreadyExists;Un paramètre avec cette clé existe déjà
WouldYouLikeToDefineThemNow;Voulez-vous les définir maintenant?
WouldYouLikeToDefineItNow;Voulez-vous le définir maintenant?
TheBusinessItemLowerCase;l'élément commercial
Execute;Exécuter
ParenthesesParameterMs;({0} ms)
AskWantToCheckThisJoinLastVerificationDataColonParameterLastVerificationTimeColonParameterSeconds;Voulez-vous vérifier cette relation?|Dernière date de vérification: {0}|Dernière vérification: {1} secondes
TheParentTypeIsParameterWithCronoSqlColonParameter;Le parent est de type {0} avec CronoSql:|{1}
FailedToFindPropertyParameterBetweenQuotesInObjectTypeParameterBetweenQuotesParameter;Impossible de trouver la propriété '{0}' dans l'objet de type '{1}'|{2}
FailedToSetPropertyParameterBetweenQuotesParameter;Impossible de définir la propriété '{0}'|{1}
TheFilePublicationDateOnServerNotMatchCurrentOneAskPostAnywayLastPublicationInformationColonParameter;La date de publication du fichier sur le serveur ne correspond pas à la date actuelle.|Poster quand même?||Information de la dernière publication:|{0}
TheConnectionParameterBetweenQuotesToAccessTheDatabaseDoesNotExistsAskWantCreateItNow;Il n'y a pas de connexion "" {0} "" pour accéder à la base de données.|Voulez-vous le créer maintenant?
Format;Format
Exclude;Exclure
_Select;Sélectionnez
Accept;Accepter
Enable;Activer
ManageFilters;Gérer les filtres
Disable;Désactiver
Documentation;La documentation
EditQuery;Modifier la requête
FilterOn;Filtrer dans
General;Général
NewAction;Nouvelle action
NewFilter;Nouveau filtre
Hide;Cacher
OrganizationColonParameter;Organisation: {0}
PassToQuery;Aller à la requête
PassToFormula;Aller à la formule
Registration;Inscription
Log;Inscription
PercentageSalesMarginAVsCostB;% Marge de vente A vs coût B
PercentageVariationOfAVsB;% De variation de A vs B
AMinusBDividedBPercentageBetweenParentheses;(a-b) / b (Pourcentage)
ParameterAccumulated;{0} accumulé
ADivideBPercentageBetweenParentheses;a / b (Pourcentage)
ADivideBRatioBetweenParentheses;a / b (rapport)
AboutCrono;À propos de Crono
Acknowledgment;Remerciements
AddColumn;Ajouter une colonne
Authorization;Autorisation
Basics;Basique
Calendar;Calendrier
GoogleCalendar;Google Agenda
FolderOnServer;Dossier du serveur
LocalFolder;Dossier local
Scientific;Scientifique
ProductKey;Clé de produit
ForeignKey;Clé étrangère
Cloning;Clonage
Clone;Clone
CloneRepository;Référentiel de clone
Commit;Valider
CheckingStatus;Vérification du statut
CheckingHead;Vérification de la tête
CheckingSource;Vérification de l'origine
CheckingStage;Étape de vérification
NetworkConfiguration;Paramètres réseau
ConfigureConnection;Configurer la connexion
ConfigureOrderBy;Configurer ORDER BY
ConfigureTop;Configurer TOP
ContactColonParameter;Contact: {0}
CopyName;Copier le nom
Correct;C'est Correct
SplashCreated;Splash créé
Credentials;Identifiants
Available;Disponibles
Duration;La durée
Edit;Modifier
EditExpression;Modifier l'expression
SqlQueryEditor;Éditeur de requêtes SQL
CronoSqlEditor;Éditeur Crono SQL
QueryEditor;Éditeur de requête
PermissionsEvaluatedSequentiallyInCaseContradictoryAssignmentsLastPrevailsIfNoPermissionApplicableDefaultApplicationPermissionsAreMaintained;Les autorisations sont évaluées séquentiellement. En cas d'affectations contradictoires, le dernier de la liste prévaut.||Si aucune autorisation spécifique n'est applicable, les autorisations par défaut de l'application sont conservées.
DeleteColumn;Supprimer la colonne
BindingErrorsColon;Erreurs de liaison:
Statistics;Statistiques
Eula;CLUF
Explorer;Explorateur
Export;Exporter
DateAndTime;Date et heure
ColumnFilter;Filtre de colonne
AdvancedFilters;Filtres avancés
Print;Imprimer
Start;Début
EnterYourCity;Entrez votre ville
EnterYourName;Entrez votre nom
TheRequestToParameterBetweenParenthesesWasResolvedWithTheCodeColonParameterParameter;La demande de '{0}' a été résolue avec le code:||{1} {2}
ExpiredLicense;La licence a expiré
LicenceDeleted;Licence supprimée.
ClearFilters;Filtres propres
ClearValue;Valeur claire
TheFollowingFilesAreLockedCloseProgramsMayBeUsingThemAndTrySynchronizeAgain;Les fichiers suivants sont verrouillés, fermez les programmes qui peuvent utiliser ces fichiers et essayez de synchroniser à nouveau.||{0}
ErrorMessage;Message d'erreur
Currency;Devise
ShowingMainWindow;Affichage de MainWindow
ShowWarnings;Afficher les avis
ShowSummations;Afficher les sommations
NotAvailable;Non disponible
CouldNotConnectToTheCloudParameter;Impossible de se connecter au cloud.||{0}
CouldNotGetRepositoryInformationCheckRepositoryAddressIsWellWrittenAndCredentialsAreCorrect;Impossible d'obtenir les informations du référentiel.||Vérifiez que l'adresse du référentiel est bien écrite et que les informations d'identification sont correctes.
NewCube;Nouveau cube
Number;Le numéro
Objects;Objets
GeneralOptions;Options générales
Sort;Ordonner
Custom;Personnalisé
Percentage;Pourcentage
PercentageParameter;Pourcentage {0}
PercentageOfTheTotal;% Du total
ProductActivated;Produit activé
CubeProperties;Propriétés du cube
RankingPercentage;Classement%
UserSelection;Sélection des utilisateurs
FormatSelection;Sélection du format
SelectCatalog;Sélectionnez le catalogue
SelectValues;Sélectionnez des valeurs
SelectTheType;Sélectionnez le type
SelectYourCountry;Sélectionnez votre pays
SelectAnObject;Sélectionnez un objet
Server;Serveur
DoUpperCase;OUI
DoNotUpperCase;Non
Synchronize;Sync
SynchronizeProject;Synchroniser le projet
SyntaxCorrect;Syntaxe correcte
TechnicalSupport;Support technique
SqlServerColonParameterParameterBetweenParentheses;SQL Server: {0} ({1})
Startup;Démarrage
CumulativeSum;Somme cumulée
CumulativeSumPercentageBetweenParentheses;Somme cumulée (%)
ReplaceWith;Remplacez par
TestText;Texte de test
TextWithoutFormat;Texte brut
NullValueLowerCase;valeur nulle
TableValues;Valeurs du tableau
ShowGroups;Voir les groupes
CheckJoin;Vérifier la relation
CheckUniqueness;Vérifier l'unicité
VersionColonParameter;Version: {0}
ParenthesesRestOfLatinAmerica;(Reste d'Amérique latine)
ExclamationThanksForUsingCrono;Merci d'utiliser Crono!
TaskManager;Le Gestionnaire des tâches
ManageRepositories;Gérer les référentiels
ManageServers;Gérer les serveurs
AddExistingGitFolder;Ajouter un dossier git existant
DragToTheRightPanelTheColumnsByWhichWantSortTheQuery;Faites glisser les colonnes selon lesquelles vous souhaitez trier la requête vers le panneau de droite.
DragHereToCreateAFilter;Faites glisser ici pour créer un filtre.
WindowsAuthentication;Authentification Windows
WindowsAuthenticationColon;Authentification Windows:
LookForUpdates;Vérifier les mises à jour
CustomNumericFormatStrings;chaînes de format numérique personnalisées
ChangeLicenseNumber;Changer le numéro de licence
ChangesInTheLocalFolder;Modifications dans le dossier local
BackupsFolder;Dossier de sauvegarde
CronoConfigurationFolder;Dossier de configuration Crono
CloseWindowWhenExecutionFinished;Fermez cette fenêtre à la fin de l'exécution
GroupColumnsColon;Colonnes de regroupement:
OderColumnsColon;Trier les colonnes:
AvailableColumnsColon;Colonnes disponibles:
CheckAccessForColon;Vérifiez l'accès pour:
ConfigureProxyServer;Configurer le serveur proxy
KeepCloudChanges;Conserver les modifications du cloud
KeepLocalChanges;Conserver les modifications locales
KeepAllCloudChanges;Conserver tous les changements dans le cloud
KeepAllLocalChanges;Conserver tous les changements locaux
ContainsUniqueValues;Il contient des valeurs uniques
CronoUsesOpenSourceSoftwareAndThirdPartyApplications;Crono utilise un logiciel open source et d'autres applications tierces.
DownloadUpdatesAutomatically;Télécharger automatiquement les mises à jour
DownloadDirectoryColon;Répertoire de téléchargement:
DownloadDirectory;Répertoire de téléchargement
WorkDirectoryColon;Répertoire de travail:
RunGarbageCollector;Exécuter le ramasse-miettes
ParameterizableBusinessItem;Élément métier paramétrable
DeleteDatabaseParenthesesDropDatabase;Supprimer la base de données (DROP DATABASE)
ConfigurationFolderContainsComputerConnectionsAndOtherInformation;Les connexions de l'appareil et les autres paramètres sont enregistrés dans le dossier de configuration.
EnterYourLicenseNumber;Entrez votre numéro de licence
ThisInformationIsShared;Ces informations sont partagées.
ThisStatisticsWindowCanHelpYouDetectCandidateFieldsToFormPrimaryKeyOrUniqueRestriction;Cette fenêtre de statistiques peut vous aider à détecter les champs candidats pour former une clé primaire ou une restriction UNIQUE.
WeStudyAndAppreciateAllRequestsWeRecive;Nous étudions et apprécions toutes les demandes que nous recevons.
FormulaFromExistingColumnsInQuery;Formule basée sur les colonnes existantes de la requête
SaveConfigurationInTheProfileOfEachUser;Enregistrez les paramètres dans le profil de chaque utilisateur
SaveConfigurationInAFolderOnComputer;Enregistrez la configuration dans un dossier sur l'appareil
LicenseInformation;Informations sur la licence
SystemInformation;Informations système
StartCronoExcelWhenOpeningMicrosoftExcel;Démarrer Crono Excel lors de l'ouverture de Microsoft Excel
EnterTheVariableParametersOfThisDocument;Saisissez les paramètres variables de ce document.
TheCronoExcelRegistryKeyExists;La clé de registre Crono Excel existe
TheInformationIsSavedIn;Les informations sont enregistrées dans
LimitNumberOfRows;Limiter le nombre de lignes
MoreInformationAboutTheChanges;Plus d'informations sur les changements
ShowAdvancedGITFunctionalities;Afficher les fonctionnalités avancées de GIT
ShowTextInSeparateWindowWhenDoubleClicking;Afficher le texte dans une fenêtre séparée lors d'un double-clic
ShowAllRows;Afficher toutes les lignes
TheCronoExcelKeyDoesNotExistsInWindowsRegistry;Il n'y a pas de clé Crono Excel dans le registre Windows
NoRulesFoundForThisUser;Aucune règle trouvée pour cet utilisateur
NewCalculatedColumn;Nouvelle colonne calculée
NewComputerConnection;Nouvelle connexion d'équipement
NuevoCombinedAndOrFilter;Nouveau filtre Y / O combiné
AnotherSqlServer;Un autre serveur SQL
ToInstallTheEvaluationVersionYouNeedALicenseNumberWithThisFormatColonXXX;Pour installer la version d'évaluation, vous avez besoin d'un numéro de licence avec ce format: XXXX-XXXX-XXXX.
ForMoreInformationSeetheHelpAboutThe;Pour plus d'informations, consultez l'aide sur
ForHelpingUsImproveCrono;pour nous aider à améliorer Crono.
BetweenAllCronoApplicationsOfThisUser;pour toutes les applications Crono de cet utilisateur.
BetweenAllCronoApplicationsAndUsersOfThisMachine;pour toutes les applications Crono et tous les utilisateurs de cette machine
PercentageOfTheTotalCountOfRecords;Pourcentage du nombre total d'enregistrements
TaskScheduler;Planificateur de tâches
YouCanContactUsFromTheSupportWebsiteOrByEmail;Vous pouvez nous contacter à partir du site Web d'assistance ou par e-mail.
CountOfDifferentValues;Nombre de valeurs différentes
PathOrUrlOfTheCatalogColon;URL de route ou de catalogue:
TheSampleDatabaseIsBeingDownloaded;L'exemple de base de données est en cours de téléchargement
