_New;Neu
AllImagesAreAccesibleCheck;- Alle Bilder sind zugänglich. (✅)
SheetParameterBetweenQuotesCreatedWithTheFollowingErrorsColonParameter;Blatt '{0}' mit folgenden Fehlern erstellt:|{1}
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheStartDateBetweenQuotes;Es ist nicht möglich, GoogleEvent zu erstellen, da das Startdatum angegeben werden muss.
ItIsNotPossibleToCreateTheGoogleEventBecauseIsNecessaryToSpecifyTheTitleBetweenQuotes;Es ist nicht möglich, GoogleEvent zu erstellen, da der Titel angegeben werden muss.
TheCalendarIdHasNotBeenDefined;Die Kalender-ID wurde nicht definiert.
ShowValues;Siehe Werte
Actions;Aktionen
ParameterAlreadyExistsAskWantReplaceIt;'{0}' existiert bereits.|Möchten Sie es ersetzen?
TheFolderLowerCase;der Ordner
TheCubeElementLowerCase;das Element des Würfels
AskWantRemoveParameterParameterBetweenQuotes;Möchten Sie {0} '{1}' entfernen?
TheDestinationFileMightNotBeSameTypeAskOverwriteServerFile;Die Zieldatei ist möglicherweise nicht vom gleichen Typ.|Serverdatei überschreiben?
TheFileHasBeenDeletenOnTheServerAskPublishAgain;Die Datei wurde auf dem Server gelöscht.|Repost es?
AConstructorWithASingleParameterHasNotBeenFoundInEditorParameterBetweenQuotesCreateConstructorToBeAbleToCreateNewElementsOfTypeParameterBetweenQuotes;Ein Scavenger mit einem einzelnen Parameter wurde im Editor '{0}' nicht gefunden.|Erstellen Sie den Konstruktor, um neue Elemente vom Typ '{1}' erstellen zu können.
AreUniqueCandidatesColon;Sie sind nur Kandidaten für:
ThisFilterAppliesToTheFollowingSheetsColonParameter;Dieser Filter gilt für die folgenden Blätter: {0}
TheParametersParametersHaveNotBeenDefined;Die Parameter {0} wurden nicht definiert.
HyphenHyphenServiceUrlColonParameter;- Service-URL: {0}
ParameterWarningColonNoViewModelsConstructorRegisteredForCollectionTypeParameter;{0} Warnung: Für eine Sammlung vom Typ '{1}' wurde kein ViewModels-Konstruktor registriert.
ParameterBetweenQuotesDeletesSuccessfully;'{0}' erfolgreich gelöscht.
ParameterDeletedBetweenParentheses;{0} (gelöscht)
NameVersionCultureLocationBarSeparated;| Name | Version | Kultur | Standort |
AskWantDeleteFilterParameterBetweenQuotes;Möchten Sie den Filter '{0}' löschen?
AskWantDeleteCubeParameterBetweenQuotes;Möchten Sie den Würfel '{0}' entfernen?
AskWantDeleteTheParameterParameter;Möchten Sie den Parameter {0} löschen?
AskWantDeleteConnectionParameterBetweenQuotes;Möchten Sie die Verbindung '{0}' löschen?
AskWantDeleteTheLicenseCurrentlyUsing;Möchten Sie die aktuell verwendete Lizenz entfernen?
AskWantDeleteAllSelectedCubeElements;Möchten Sie alle ausgewählten Elemente aus dem Cube entfernen?
AskDeleteParameterBetweenQuotes;'{0}' löschen?
AskDeleteTheJobParameterBetweenQuotes;Job '{0}' löschen?
OpenAllSubfolder;Öffnen Sie alle Ordner
UpdateAvailableParameterBetweenParentheses;Update verfügbar ({0})
UpdateListOfValues;Liste der Werte aktualisieren
JobManager;Job Manager
AddCalculatedColumn;Berechnete Spalte hinzufügen
AddCalculatedColumnElipsis;Berechnete Spalte hinzufügen ...
AddServerCronoExamples;Server 'Crono Beispiele' hinzufügen
TheDocumentMustBeSavedLocallyBeforePublishing;Vor dem Veröffentlichen muss das Dokument lokal gespeichert werden.
AllConflictsMustBeResolvedBeforeSynchronizing;Vor der Synchronisierung müssen alle Konflikte gelöst werden
LoadedMainWindowParenthesesAfterParameterMs;MainWindow geladen (nach {0} ms)
LoadedSplashParenthesesAfterParameterMs;Loaded Splash (nach {0} ms)
ConfigurationFolder;Konfigurationsordner
CloseOtherFolders;Schließen Sie die anderen Ordner
CloseAllFolders;Schließen Sie alle Ordner
ValidProductKey;Gültiger Produktschlüssel.
CheckingFilesFromTheCloud;Überprüfen von Dateien aus der Cloud
CheckingGitRepository;Git Repository überprüfen ...
ComputerConnectionColonParameter;Geräteverbindung: {0}
DefaultConnection;Standardverbindung
ConfigureParameters;Parameter konfigurieren
CopySuggestedCreateTable;Kopieren Sie CREATE TABLE vorgeschlagen
CopyFieldList;Feldliste kopieren
CopyCommaSeparatedFieldList;Kopieren Sie die durch Kommas getrennte Feldliste
EmailColonParameter;E-Mail: {0}
WhenGroupColumnsExistsNeedTospecifyOrderColumns;Wenn Gruppierungsspalten vorhanden sind, müssen auch Sortierspalten angegeben werden.
YouMustDefinieVariableToUseThem;Sie müssen die Variablen definieren, um sie verwenden zu können.
YouMustSpecifyDataBaseNameForLocalCubes;Sie müssen den Namen der Datenbank für lokale Cubes angeben.
YouMustSpecifyConnectionName;Sie müssen den Namen der Verbindung angeben.
YouMustSpecifyFileName;Sie müssen den Dateinamen angeben
YouMustSpecifyParameterName;Sie müssen den Namen des Parameters angeben
YouMustSpecifyANameForThisColumn;Sie müssen einen Namen für diese Spalte angeben.
YouMustSpecifyACorrectKeyForParameter;Sie müssen einen korrekten Schlüssel für den Parameter angeben
YouMustSpecifyUserOrGroup;Sie müssen Benutzer oder Gruppe angeben
YouMustSelectColumnsToCheck;Sie müssen die Spalten auswählen, die Sie überprüfen möchten.
YouMustSelectaBusinessItem;Sie müssen einen Geschäftsartikel auswählen
YouMustSelectAnItem;Sie müssen einen Artikel auswählen.
YouMustSelectAnAuthorizationType;Sie müssen einen Berechtigungstyp auswählen
YouMustSelectAUser;Sie müssen einen Benutzer auswählen.
YouMustSelectAFolder;Sie müssen einen Ordner auswählen
YouMustSelectACatalogDimension;Sie müssen eine Katalogdimension auswählen
YouMustSpecifyTheItemName;Sie müssen den Namen des Elements angeben.
DownloadingDatabase;Datenbank herunterladen
WorkingDirectory;Arbeitsverzeichnis
ExpressionEditor;Ausdruckseditor
TheFileParameterBetweenQuotesIsOpenCloseItBeforeOverwriteIt;Die Datei '{0}' ist geöffnet. Schließen Sie sie, bevor Sie sie überschreiben.
TheFileParameterBetweenQuotesContainsErrorsThatPreventSavingAskCloseWithoutSaving;Die Datei '{0}' enthält Fehler, die das Speichern verhindern. Möchten Sie schließen, ohne zu speichern?
TheFileContainsErrorsAndNotPossibleToSave;Die Datei enthält Fehler und konnte nicht gespeichert werden.
TheFileDoesNotHaveTheExpectedVersion;Die Datei hat nicht die erwartete Version
TheSelectedDirectoryIsNotAGitDirectory;Das ausgewählte Verzeichnis ist kein Git-Verzeichnis.
TheSelectedDirectoryIsNotEmpty;Das ausgewählte Verzeichnis ist nicht leer.
TheSelectedDirectoryDoesNotExists;Das ausgewählte Verzeichnis existiert nicht.
TheFileMustBeInsideParameterBetweenQuotes;Die Datei muss sich innerhalb von '{0}' befinden.
TheFileIsNotAsExpected;Der Hash der Datei ist nicht wie erwartet
TheColumnNameCannotBeginWithArroba;Der Spaltenname darf nicht mit @ beginnen.
TheObjectTypeParameterBetweenQuotesNotValidSource;Objekt vom Typ '{0}' ist keine gültige Quelle.
TheParameterParameterIsCatalogParameterAndCannotDelete;Der Parameter {0} ist ein Katalogparameter und kann nicht gelöscht werden.
TheRepositoryIsNotOnHead;Das Repository befindet sich nicht im HEAD.
TheTextHasBeenCopiedToClipboard;Der Text wurde in die Zwischenablage kopiert.
TheTypeParameterBetweenParenthesesIsNotEnumeration;Typ '{0}' ist keine Aufzählung
TheUsesDoesNotBelongToAnyGroup;Der Benutzer gehört keiner Gruppe an.
TheDefaultValueIsBadlyDefined;Der Standardwert ist falsch definiert.
SelectedValueInParameterCausesRecursionSelectAnotherValue;Der in {0} ausgewählte Wert führt zu einer Rekursion. Wählen Sie einen anderen Wert aus.
SelectedValuesUsesThisParameterSelectAnotherValueToAvoidRecursion;Der ausgewählte Wert verwendet diesen Parameter. Wählen Sie einen anderen Wert aus, um eine Rekursion zu vermeiden.
DeleteParenthesesParameterColumns;Löschen ({0} Spalten)
DeleteSelected;Ausgewählte löschen
DeleteAllColumns;Entfernen Sie alle Spalten
ErrorDisplayingRequestResultParameterBetweenQuotes;Fehler beim Anzeigen des Anforderungsergebnisses '{0}'.
ErrorGettingParameter;Fehler beim Abrufen von {0}
IntentionallyCausedError;Absichtlich verursachter Fehler
ThisActionDoesNotContainAnyPropertyThatCouldBeModified;Diese Aktion enthält keine Eigenschaft, die geändert werden kann.
ThisJoinIsMarkedToNotCheck;Diese Beziehung ist markiert, damit sie nicht überprüft wird.
ThisJoinHasReferentialIntegrityInDatabase;Diese Beziehung hat referenzielle Integrität in der Datenbank.
SetParameter;Setze {0}
StatisticsOfTheResult;Ergebnisstatistik
TheseColumnsTogether;Diese Spalten zusammen
ThisFilterAppliesAllSheets;Dieser Filter gilt für alle Blätter
ThisFilterAppliesOnlyThisSheetColonParameter;Dieser Filter gilt nur für dieses Blatt: {0}
ThisFilterDoesNotApplyAnySheet;Dieser Filter gilt nicht für Blätter
ExcludeParameterInThisQuery;Schließen Sie {0} in dieser Abfrage aus
ThereIsASyntaxError;Es liegt ein Syntaxfehler vor.
ServerExplorer;Server Explorer
FilterBusinessItems;Geschäftselemente filtern
FilterOnTheFollowingPanels;Filtern Sie in den folgenden Bereichen
FilterOnAllSheets;Filter auf allen Blättern
FilterOnAllPanels;Filter auf allen Panels
FilterOnlyOnThisSheet;Nur auf diesem Blatt filtern
FilterOnlyInThisPanel;Nur in diesem Bereich filtern
FormatParenthesesParameterColumns;Format ({0} Spalten)
NotImplementedFormat;Format nicht implementiert
FormulaValidatedCorrectly;Formel korrekt validiert
GenericColonParameter;Allgemein: {0}
TheConnectionToTheServerHasFailed;Die Verbindung zum Server ist fehlgeschlagen
ThereWasAnErrorWhileCommitting;Beim Festschreiben ist ein Fehler aufgetreten.
ThereWasAProblemWhileRegisteringCheckInternetOrContactCrono;Bei der Registrierung des Produkts ist ein Problem aufgetreten. Überprüfen Sie Ihre Internetverbindung oder wenden Sie sich an info@crono.net.
AnErrorOccurredDuringExecution;Während der Ausführung ist ein Fehler aufgetreten.
AnErrorOccurredDuringPublication;Bei der Veröffentlichung ist ein Fehler aufgetreten.
AnErrorOccurredDuringDataValidation;Bei der Datenüberprüfung ist ein Fehler aufgetreten.
AnErrorOccurredInTheApplicationAndWillNowClose;Ein Anwendungsfehler ist aufgetreten und wird geschlossen.
AnUnexpectedErrorOccurredWhileExportingInformation;Beim Exportieren der Informationen ist ein unerwarteter Fehler aufgetreten ...
AnUnexpectedErrorOccurredDuringThisCommandExecution;Bei der Ausführung dieses Befehls ist ein unvorhergesehener Fehler aufgetreten.
ThereHaveBeenNewCommitsSinceTheLastCheck;Seit der letzten Überprüfung wurden neue Commits durchgeführt.
ThereAreFilesInStage;Es sind Dateien in der Phase
ThereIsAnErrorWithTheQuery;Bei der Abfrage ist ein Fehler aufgetreten
ThereIsAnIncompleteMerge;Es liegt eine unvollständige Zusammenführung vor.
DeviceIdentifierColonParameter;Gerätekennung: {0}
IndicatesWhetherVariableModificationsAreMadeDirectlyOnTheListOrInACopy;Gibt an, ob die an den Variablen vorgenommenen Änderungen direkt in der Liste vorgenommen werden, die von den Parametern in der Variableneigenschaft übergeben wird, oder in einer Kopie
SessionInformation;Sitzungsinformationen
EnterTheLicenseNumber;Geben Sie die Lizenznummer ein.
EnterAContactEmail;Geben Sie eine Kontakt-E-Mail ein
TheFolderParameterBetweenQuotesNotContainGitRepository;Der Ordner '{0}' enthält kein Git-Repository.
TheConnectionIsNotDefined;Die Verbindung ist nicht definiert
TheDefinitionContainsSyntaxError;Die Definition enthält einen Syntaxfehler
TheExpressionIsNotCorrect;Der Ausdruck ist nicht korrekt.
TheExpressionIsNotAFilter;Der Ausdruck ist kein Filter
TheExpressionMustBeAQuery;Die Anweisung muss eine Abfrage sein
ThePropertyParameterIsReadOnly;Die Eigenschaft '{0}' ist schreibgeschützt.
ThePropertyParameterIsReadOnlyAndCannotBeSetByBinding;Die Eigenschaft '{0}' ist schreibgeschützt und kann nicht durch Bindung festgelegt werden.
ThePropertyParameterIsReadOnlyAndItsValueCannotBeSetExternally;Die Eigenschaft '{0}' ist schreibgeschützt und ihr Wert kann nicht extern festgelegt werden.
ThePropertyParameterBetweenQuotesNotExistsInModelParameterBetweenParentheses;Die Eigenschaft '{0}' existiert im Modell nicht ({1})
TheListPropertyIsNotEnumerableType;Die list-Eigenschaft ist nicht vom Typ enumerable
ListPropertyHasNotBeenFound;List-Eigenschaft nicht gefunden
TheSQLStatementIsCorrect;Die SQL-Anweisung ist korrekt.
LocateInCatalog;Suchen Sie im Katalog
ChangesMadeToFileParameterBetweenQuotesWillBeLostAskContinueAnyway;Änderungen an der Datei '{0}' gehen verloren. Trotzdem weitermachen?
FiltersWillAlwaysApplyToThePanelsWhereTheyAreIn;Filter werden immer auf die Bedienfelder angewendet, in denen sie sich befinden.
ReportsFromCubesAreNotYetAvailable;Berichte von Cubes sind noch nicht verfügbar
TheParameterParameterHasNotBeenDefined;Der Parameter {0} wurde nicht definiert.
RamMemoryColonParameterMb;RAM-Speicher: {0: N2} MB
ShowColumnSelector;Spaltenauswahl anzeigen
YouNeedLinceseNumberToUseCronoSolutionCanGetOneFromDemoCrono;Sie benötigen eine Lizenznummer, um die Crono-Lösung verwenden zu können. Sie können eine kostenlos von http://demo.crono.net erhalten
NoObjectInCatalogUsesTheParameterParameterBetweenQuotes;Kein Objekt im Katalog verwendet den Parameter '{0}'.
ThePropertyParameterBetweenQuotesNotExistsInParameterBetweenQuotesParenthesesViewModelColonParameterBetweenQuotes;Es gibt keine Eigenschaft '{0}' in '{1}' (Ansichtsmodell: '{2}')
DoNotFilterOnThisSheet;Filtern Sie nicht auf diesem Blatt
CouldNotValidateLicenseNumberMayBeProblemsWithInternetConnectionOrServerMeyNotBeOperationalAtThisTimeTryItAgainLater;Die Lizenznummer konnte nicht validiert werden. Möglicherweise liegen Probleme mit Ihrer Internetverbindung vor oder der Server ist zu diesem Zeitpunkt möglicherweise nicht betriebsbereit. Versuchen Sie es später erneut.
ItWasNotPossibleToUseThisCatalog;Dieser Katalog konnte nicht verwendet werden
ItWasNotPossibleToValidateProductKey;Der Produktschlüssel konnte nicht validiert werden.
ThereAreNoPendingChanges;Keine ausstehenden Änderungen
ThereIsNoEstablishedConnectionAtThisTime;Derzeit ist keine Verbindung hergestellt.
ThePublicationAddresHasNotBeenConfigured;Die Veröffentlichungsadresse wurde nicht festgelegt.
AnOriginHasNotBeenConfiguredInTheRepository;Ein 'Ursprung' wurde im Repository nicht konfiguriert.
TheColorThemeLibraryWasNotFoundColon;Die Farbthemenbibliothek wurde nicht gefunden:
NoCatalogFoundOnTheSpecifiedRoute;Auf der angegebenen Route wurde kein Katalog gefunden
CouldNotOpenJobColonParameter;Job konnte nicht geöffnet werden: {0}
CouldNotUpdateServerInformation;Serverinformationen konnten nicht aktualisiert werden
CouldNotAssignValue;Der Wert konnte nicht zugewiesen werden.
CouldNotChangeRegistryValue;Registrierungswert konnte nicht geändert werden
CouldNotCloneRepository;Das Repository konnte nicht geklont werden.
CouldNotGenerateFileParameterBetweenQuotes;Datei '{0}' konnte nicht generiert werden.
NoServersHaveBeenRegistered;Es wurden keine Server registriert
NoSourceHasBeenSelected;Keine Quelle ausgewählt.
CouldNotGenerateSDLViewOfParameterBetweenQuotes;SDL-Ansicht von '{0}' konnte nicht generiert werden
NoFilesHaveBeenSelected;Keine Dateien ausgewählt.
ThisPanelCannotBeExportedInCardsMode;Sie können dieses Bedienfeld nicht im Präsentationsmodus 'Karten' exportieren
CannotSaveIntoFolderParameterBetweenQuotes;Kann nicht im Ordner '{0}' speichern
CannotLocateMapFileParameterBetweenQuotes;Kartendatei '{0}' kann nicht gefunden werden
YouHaveNoRegisteredServerThatSupportsPublishingAskWantToAddOneNow;Sie haben keinen registrierten Server, der das Veröffentlichen unterstützt. Möchten Sie jetzt einen hinzufügen?
LicenseNumberColonParameter;Lizenznummer: {0}
ObjectForTheListOfValues;Objekt für die Werteliste
ObjectsUsingParameter;Objekte, die {0} verwenden
GetsOrSetsACollectionUsedToGenerateTheDatagridContent;Ruft eine Sammlung ab oder legt diese fest, die zum Generieren von Datagrid-Inhalten verwendet wird
GetsACollectionOfDatagridColumns;Holen Sie sich eine Sammlung von Spalten aus dem Datagrid
HideParenthesesParameterColumns;Ausblenden ({0} Spalten)
AnErrorOcurredDuringSynchronization;Während der Synchronisation ist ein Fehler aufgetreten.
PassAllToQuery;Übergeben Sie alles an die Beratung
PercentageWithRespectToAGroup;Prozentsatz in Bezug auf eine Gruppe
ProblemGettingPropertyParameterBetweenQuotesOfAParameterBetweenQuotes;Problem beim Abrufen der Eigenschaft '{0}' einer '{1}'
UnregisteredProduct;Nicht registriertes Produkt
PropertyParameterBetweenQuotesLinkedToIncorrectType;Eigenschaft '{0}' mit falschem Typ verknüpft
PropertyParameterBetweenQuotesNotFoundInObjectOfTypeParameterBetweenQuotes;Die Eigenschaft '{0}' wurde im Objekt vom Typ '{1}' nicht gefunden.
FolderProperties;Ordnereigenschaften
ColumnProperties;Spalteneigenschaften
FilterProperties;Filtereigenschaften
CubeElementProperties;Eigenschaften des Würfelelements
RepositoryProperties;Repository-Eigenschaften
ReferenceToNonExistentPropertyColon;Verweis auf nicht existierendes Eigentum:
HighlightCompatibleObjects;Markieren Sie kompatible Objekte
TheExpressionMustBeSpecified;Der Ausdruck muss angegeben werden.
ACommitMessageMustBeSpecified;Eine Festschreibungsnachricht muss angegeben werden.
TheJobMustBeNamed;Der Job muss benannt werden.
AtLeastParameterParameterMustBeSelected;Es muss mindestens {0} {1} ausgewählt sein
TheDestinationDirectoryMustBeSelected;Das Zielverzeichnis muss ausgewählt sein.
ACalendarMustBeSelected;Ein Kalender muss ausgewählt werden.
ADirectoryMustBeSelected;Ein Verzeichnis muss ausgewählt werden.
AFileToExecuteMustBeSelected;Sie müssen eine auszuführende Datei auswählen
ASingleQueryMustBeUsed;Es muss eine einzelne Abfrage verwendet werden
AnoObjectOfTypeTypeWasExpectedButIsTypeParameterBetweenQuotes;Ein Objekt vom Typ 'Typ' wurde erwartet, ist jedoch vom Typ '{0}'
TheTableIsMaterializing;Der Tisch materialisiert sich
TheRepositoryHasBeenAccessedCorrectly;Auf das Repository wurde korrekt zugegriffen.
RegistrationCompletedSuccessfully;Registrierung erfolgreich abgeschlossen.
TheDatabaseWasCreatedAndConnectionHasBeenEstablishedCorrectly;Die Datenbank wurde erstellt und die Verbindung wurde korrekt hergestellt.
TheDatabaseHasBeenDeletedSuccessfully;Die Datenbank wurde erfolgreich gelöscht.
TheConnectionToCronoServerHasBeenEstablishedSuccessfully;Die Verbindung zum Crono-Server wurde erfolgreich hergestellt.
ItHasBeenPublishedCorrectly;Es wurde korrekt veröffentlicht.
UpdatesHaveBeenLookedFor;Updates gesucht
ParameterDifferentCombinationsHaveBeenFound;{0: N0} verschiedene Kombinationen gefunden.
TheLookForUpdatesStarts;Die Update-Suche wird gestartet
TheDatabaseParameterIsGoingToBeDeletedWithAllItsContentAskAreSureWantContinue;Die Datenbank {0} und ihr gesamter Inhalt werden vollständig gelöscht. Sind Sie sicher, dass Sie fortfahren möchten?
SelectParameterInThisQuery;Wählen Sie in dieser Abfrage {0} aus
SelectGreaterThanOrEqualTo;Wählen Sie größer oder gleich
SelectLessThanOrEqualTo;Wählen Sie kleiner oder gleich
SelectLocation;Standort auswählen
SelectTheImageFile;Wählen Sie die Bilddatei aus
SelectTheCatalogLanguage;Katalogsprache auswählen
SelectTheActionTypeYouWantCreate;Wählen Sie die Art der Aktion aus, die Sie erstellen möchten.
SelectTheJob;Job auswählen
SelectBusinessElementsTahtWillBeAllowedToChoosesWhenAskingTheParameter;Wählen Sie die Geschäftselemente aus, die Sie auswählen dürfen, wenn Sie nach dem Parameter fragen.
SelectTheValuesToFilterBy;Wählen Sie die Werte aus, nach denen gefiltert werden soll.
SelectACatalogWithWhichToBuildYourReport;Wählen Sie einen Katalog aus, mit dem Sie Ihren Bericht erstellen möchten
SelectADirectory;Wählen Sie ein Verzeichnis
SelectAnItemFromCatalog;Wählen Sie einen Artikel aus dem Katalog.
SelectADimension;Wählen Sie eine Dimension.
ServerForLocalCubes;Server für lokale Cubes
IfPasswordIsSpecifiedAUserMustAlsoBeSpecified;Wenn ein Passwort angegeben wird, muss auch ein Benutzer angegeben werden.
SynchronizationCompleted;Synchronisation abgeschlossen.
OperatingSystemColonParameter;Betriebssystem: {0}
OnlyPaginaViewItemAndPaginaViewGroupItemAreAllowed;Es werden nur 'PaginaViewItem' und 'PaginaViewGroupItem' unterstützt
SplashScreenClosedParenthesesAfterParameterMs;SplashScreen geschlossen (nach {0} ms)
InstallationTypeColonParameter;Installationstyp: {0}
ValidatingProductKeyElipsis;Produktschlüssel validieren ...
ValidateLicenseNumber;Überprüfen Sie die Lizenznummer
NotAllowedValueInParameter;Wert in {0} nicht unterstützt
ShowVerificationErrors;Siehe Überprüfungsfehler
ShowVerificationStatement;Siehe Verifizierungserklärung
InstallationVerification;Installationsüberprüfung
AParameterWithThisKeyAlreadyExists;Ein Parameter mit diesem Schlüssel ist bereits vorhanden
WouldYouLikeToDefineThemNow;Möchten Sie sie jetzt definieren?
WouldYouLikeToDefineItNow;Möchten Sie es jetzt definieren?
TheBusinessItemLowerCase;das Geschäftselement
Execute;Ausführen
ParenthesesParameterMs;({0} ms)
AskWantToCheckThisJoinLastVerificationDataColonParameterLastVerificationTimeColonParameterSeconds;Möchten Sie diese Beziehung überprüfen?|Letztes Überprüfungsdatum: {0}|Letzte Überprüfungszeit: {1} Sekunden
TheParentTypeIsParameterWithCronoSqlColonParameter;Das übergeordnete Element ist vom Typ {0} mit CronoSql:|{1}
FailedToFindPropertyParameterBetweenQuotesInObjectTypeParameterBetweenQuotesParameter;Die Eigenschaft '{0}' im Objekt vom Typ '{1}' konnte nicht gefunden werden.|{2}
FailedToSetPropertyParameterBetweenQuotesParameter;Fehler beim Festlegen der Eigenschaft '{0}'|{1}
TheFilePublicationDateOnServerNotMatchCurrentOneAskPostAnywayLastPublicationInformationColonParameter;Das Datum der Veröffentlichung der Datei auf dem Server stimmt nicht mit dem aktuellen überein.|Trotzdem posten?||Angaben zur letzten Veröffentlichung:|{0}
TheConnectionParameterBetweenQuotesToAccessTheDatabaseDoesNotExistsAskWantCreateItNow;Es besteht keine Verbindung ' {0} ', um auf die Datenbank zuzugreifen.|Möchten Sie es jetzt erstellen?
Format;Formatieren
Exclude;Ausschließen
_Select;Wählen Sie
Accept;Akzeptiere
Enable;Aktivieren
ManageFilters;Filter verwalten
Disable;Deaktivieren
Documentation;Dokumentation
EditQuery;Abfrage bearbeiten
FilterOn;Filtern Sie hinein
General;Allgemein
NewAction;Neue Aktion
NewFilter;Neuer Filter
Hide;Verstecken
OrganizationColonParameter;Organisation: {0}
PassToQuery;Zur Abfrage gehen
PassToFormula;Gehe zur Formel
Registration;Registrierung
Log;Registrierung
PercentageSalesMarginAVsCostB;% Umsatzrendite A gegenüber Kosten B.
PercentageVariationOfAVsB;% Variation von A gegen B.
AMinusBDividedBPercentageBetweenParentheses;(a-b) / b (Prozentsatz)
ParameterAccumulated;{0} akkumuliert
ADivideBPercentageBetweenParentheses;a / b (Prozentsatz)
ADivideBRatioBetweenParentheses;a / b (Verhältnis)
AboutCrono;Über Crono
Acknowledgment;Danksagung
AddColumn;Spalte hinzufügen
Authorization;Autorisierung
Basics;Grundlegend
Calendar;Kalender
GoogleCalendar;Google Kalender
FolderOnServer;Serverordner
LocalFolder;Lokaler Ordner
Scientific;Wissenschaftler
ProductKey;Produktschlüssel
ForeignKey;Fremdschlüssel
Cloning;Klonen
Clone;Klon
CloneRepository;Repository klonen
Commit;Festschreiben
CheckingStatus;Status überprüfen
CheckingHead;KOPF prüfen
CheckingSource;Herkunft prüfen
CheckingStage;Phase überprüfen
NetworkConfiguration;Netzwerkeinstellungen
ConfigureConnection;Verbindung herstellen
ConfigureOrderBy;Konfigurieren Sie ORDER BY
ConfigureTop;TOP konfigurieren
ContactColonParameter;Kontakt: {0}
CopyName;Name kopieren
Correct;Richtig
SplashCreated;Splash erstellt
Credentials;Anmeldeinformationen
Available;Verfügbar
Duration;Dauer
Edit;Bearbeiten
EditExpression;Ausdruck bearbeiten
SqlQueryEditor;SQL-Abfrageeditor
CronoSqlEditor;Crono SQL Editor
QueryEditor;Abfrage-Editor
PermissionsEvaluatedSequentiallyInCaseContradictoryAssignmentsLastPrevailsIfNoPermissionApplicableDefaultApplicationPermissionsAreMaintained;Berechtigungen werden nacheinander ausgewertet. Bei widersprüchlichen Zuordnungen hat der letzte Teil der Liste Vorrang.||Wenn keine bestimmte Berechtigung anwendbar ist, werden die Standardberechtigungen der Anwendung beibehalten.
DeleteColumn;Spalte löschen
BindingErrorsColon;Bindungsfehler:
Statistics;Statistik
Eula;EULA
Explorer;Explorer
Export;Exportieren
DateAndTime;Datum und Uhrzeit
ColumnFilter;Spaltenfilter
AdvancedFilters;Erweiterte Filter
Print;Drucken
Start;Zuhause
EnterYourCity;Geben Sie Ihre Stadt ein
EnterYourName;Geben Sie Ihren Namen ein
TheRequestToParameterBetweenParenthesesWasResolvedWithTheCodeColonParameterParameter;Die Anfrage an '{0}' wurde mit folgendem Code gelöst:||{1} {2}
ExpiredLicense;Lizenz abgelaufen
LicenceDeleted;Lizenz entfernt.
ClearFilters;Filter reinigen
ClearValue;Wert löschen
TheFollowingFilesAreLockedCloseProgramsMayBeUsingThemAndTrySynchronizeAgain;Die folgenden Dateien sind gesperrt. Schließen Sie die Programme, die diese Dateien möglicherweise verwenden, und versuchen Sie erneut, die Synchronisierung durchzuführen.||{0}
ErrorMessage;Fehlermeldung
Currency;Währung
ShowingMainWindow;MainWindow anzeigen
ShowWarnings;Hinweise anzeigen
ShowSummations;Summierungen anzeigen
NotAvailable;Nicht verfügbar
CouldNotConnectToTheCloudParameter;Es konnte keine Verbindung zur Cloud hergestellt werden.||{0}
CouldNotGetRepositoryInformationCheckRepositoryAddressIsWellWrittenAndCredentialsAreCorrect;Repository-Informationen konnten nicht abgerufen werden.||Stellen Sie sicher, dass die Repository-Adresse gut geschrieben und die Anmeldeinformationen korrekt sind.
NewCube;Neuer Würfel
Number;Nummer
Objects;Objekte
GeneralOptions;Allgemeine Optionen
Sort;Bestellung
Custom;Benutzerdefiniert
Percentage;Prozentsatz
PercentageParameter;Prozentsatz {0}
PercentageOfTheTotal;% Der Gesamtmenge
ProductActivated;Produkt aktiviert
CubeProperties;Würfeleigenschaften
RankingPercentage;Ranking%
UserSelection;Benutzerauswahl
FormatSelection;Formatauswahl
SelectCatalog;Katalog auswählen
SelectValues;Werte auswählen
SelectTheType;Typ auswählen
SelectYourCountry;Wählen Sie Ihr Land
SelectAnObject;Wählen Sie ein Objekt aus
Server;Server
DoUpperCase;JA
DoNotUpperCase;NEIN
Synchronize;Synchronisieren
SynchronizeProject;Projekt synchronisieren
SyntaxCorrect;Richtige Syntax
TechnicalSupport;Technischer Support
SqlServerColonParameterParameterBetweenParentheses;SQL Server: {0} ({1})
Startup;Start
CumulativeSum;Kumulative Summe
CumulativeSumPercentageBetweenParentheses;Kumulative Summe (%)
ReplaceWith;Ersetzen durch
TestText;Testtext
TextWithoutFormat;Klartext
NullValueLowerCase;Nullwert
TableValues;Tabellenwerte
ShowGroups;Siehe Gruppen
CheckJoin;Überprüfen Sie die Beziehung
CheckUniqueness;Überprüfen Sie die Eindeutigkeit
VersionColonParameter;Version: {0}
ParenthesesRestOfLatinAmerica;(Rest Lateinamerikas)
ExclamationThanksForUsingCrono;Vielen Dank, dass Sie Crono verwenden!
TaskManager;Task-Manager
ManageRepositories;Repositorys verwalten
ManageServers;Server verwalten
AddExistingGitFolder;Fügen Sie einen vorhandenen Git-Ordner hinzu
